year,rank,name,first_clean,middle,last,firstlast,gender_guess
1982,VOA, George Jenson,George,,Jenson,George Jenson,male
1982,ADM," Robert E. Jacobson,",Robert,E.,Jacobson,Robert Jacobson,male
1982,CHG, William H. Twaddell,William,H.,Twaddell,William Twaddell,male
1982,CON, Howard F. Jeter,Howard,F.,Jeter,Howard Jeter,male
1982,AMB, Carleton S. Coon,Carleton,S.,Coon,Carleton Coon,male
1982,DCM, A. Peter Burleigh,Peter,Peter,Burleigh,Peter Burleigh,male
1982,AID, Dennis J. Brennan,Dennis,J.,Brennan,Dennis Brennan,male
1982,CON, Nancy J. Powell,Nancy,J.,Powell,Nancy Powell,female
1982,PAO, John F. Ritchotte,John,F.,Ritchotte,John Ritchotte,male
1982,ADM, John C. Daniels,John,C.,Daniels,John Daniels,male
1982,AMB, William J. Dyess,William,J.,Dyess,William Dyess,male
1982,RSO, Gerald D.,Gerald,,D.,Gerald D.,male
1982,DCM, W. Dixon Boggs,Dixon,Dixon,Boggs,Dixon Boggs,male
1982,ECO, Lawrence J. Kennon,Lawrence,J.,Kennon,Lawrence Kennon,male
1982,AGR, Clancy V. Jean,Clancy,V.,Jean,Clancy Jean,male
1982,COM, John R. Ferchak,John,R.,Ferchak,John Ferchak,male
1982,PAO, Frederic S. Mabbatt,Frederic,S.,Mabbatt,Frederic Mabbatt,male
1982,ODA, Capt George N.,George,,N.,George N.,male
1982,POL, Michael J. Habib,Michael,J.,Habib,Michael Habib,male
1982,ADM, Richard C. Faulk,Richard,C.,Faulk,Richard Faulk,male
1982,CG, S. Morey Bell,Morey,Morey,Bell,Morey Bell,unknown
1982,CON, Michael M. Sherman,Michael,M.,Sherman,Michael Sherman,male
1982,COM, Donald P. Trader,Donald,P.,Trader,Donald Trader,male
1982,CG, Jack A. Sulser,Jack,A.,Sulser,Jack Sulser,male
1982,CON, William F. Kingsbury,William,F.,Kingsbury,William Kingsbury,male
1982,COM, Joseph T. O'Brien,Joseph,T.,O'Brien,Joseph O'Brien,male
1982,CG, Alta F. Fowler,Alta,F.,Fowler,Alta Fowler,female
1982,CON, Robert O. Benson,Robert,O.,Benson,Robert Benson,male
1982,AMB, H. Monroe Browne,Monroe,Monroe,Browne,Monroe Browne,male
1982,CON, Donald R. Tremblay,Donald,R.,Tremblay,Donald Tremblay,male
1982,DCM," Charles B. Salmon, Jr",Charles,B.,Salmon,Charles Salmon,male
1982,ADM, George F. Rodman,George,F.,Rodman,George Rodman,male
1982,ECO, Charles S. Ahlgren,Charles,S.,Ahlgren,Charles Ahlgren,male
1982,AGR, James M. Benson,James,M.,Benson,James Benson,male
1982,COM, Kenneth L. Norton,Kenneth,L.,Norton,Kenneth Norton,male
1982,PAO, Charles L. Bell,Charles,L.,Bell,Charles Bell,male
1982,POL, Linda C. Stillman,Linda,C.,Stillman,Linda Stillman,female
1982,ODA, Capt James F.,James,,F.,James F.,male
1982,LAB, Greogry M. Talcott,Greogry,M.,Talcott,Greogry Talcott,unknown
1982,CG, Peter T. Higgins,Peter,T.,Higgins,Peter Higgins,male
1982,CON, Lyle Van Ravenswaay,Lyle,,Van Ravenswaay,Lyle Van Ravenswaay,male
1982,ADM, Paul H. Pina,Paul,H.,Pina,Paul Pina,male
1982,CHG, Robert R. Gamble,Robert,R.,Gamble,Robert Gamble,male
1982,RSO, Jerry P. Wilson,Jerry,P.,Wilson,Jerry Wilson,male
1982,POL, Linda M. Pfeifle,Linda,M.,Pfeifle,Linda Pfeifle,female
1982,CON, Lana C. Chumley,Lana,C.,Chumley,Lana Chumley,female
1982,AID, Gerald R. Wein,Gerald,R.,Wein,Gerald Wein,male
1982,PAO, William T. Hines,William,T.,Hines,William Hines,male
1982,ADM, Edward B. Pohl,Edward,B.,Pohl,Edward Pohl,male
1982,CHG, Peter R. Chaveas,Peter,R.,Chaveas,Peter Chaveas,male
1982,AID, John Vovaas,John,,Vovaas,John Vovaas,male
1982,PAO, William R. Barr,William,R.,Barr,William Barr,male
1982,CON, Elizabeth P. Barr,Elizabeth,P.,Barr,Elizabeth Barr,female
1982,AMB, Thomas R. Pickering,Thomas,R.,Pickering,Thomas Pickering,male
1982,ADM, Katherine L. Kemp,Katherine,L.,Kemp,Katherine Kemp,female
1982,DCM, P. Wesley Kriebel,Wesley,Wesley,Kriebel,Wesley Kriebel,male
1982,RSO, Bernard B. Collins,Bernard,B.,Collins,Bernard Collins,male
1982,ECO, Carl C. Cundiff,Carl,C.,Cundiff,Carl Cundiff,male
1982,COM, George G. Griffin,George,G.,Griffin,George Griffin,male
1982,ATO, John R. Davenport,John,R.,Davenport,John Davenport,male
1982,POL, Walter S. Clarke,Walter,S.,Clarke,Walter Clarke,male
1982,PAO, Brian Bell,Brian,,Bell,Brian Bell,male
1982,LAB, Susan M. Mowle,Susan,M.,Mowle,Susan Mowle,female
1982,ODA, Col Chester D.,Chester,,D.,Chester D.,male
1982,CON, John E. Bennett,John,E.,Bennett,John Bennett,male
1982,PO, Donald,Donald,,,Donald ,male
1982,ADM," William Kohlenbush,",William,,Kohlenbush,William Kohlenbush,male
1982,BPAO, Robert R. Gibbons,Robert,R.,Gibbons,Robert Gibbons,male
1982,CON, Katherine T. Eſlam,Katherine,T.,Eſlam,Katherine Eſlam,female
1982,AMB, Mark E. Austad,Mark,E.,Austad,Mark Austad,male
1982,ADM, John M. O'Keefe,John,M.,O'Keefe,John O'Keefe,male
1982,DCM, Ronald Woods,Ronald,,Woods,Ronald Woods,male
1982,AGR, Edmund L. Nichols,Edmund,L.,Nichols,Edmund Nichols,male
1982,ECO, John Boyle,John,,Boyle,John Boyle,male
1982,COM, F. Brenne Bachmann,Brenne,Brenne,Bachmann,Brenne Bachmann,unknown
1982,PAO, Gary J. Morley,Gary,J.,Morley,Gary Morley,male
1982,LAB, Patrick Del Vecchio,Patrick,,Del Vecchio,Patrick Del Vecchio,male
1982,CON, Robert G. Anders,Robert,G.,Anders,Robert Anders,male
1982,ODA, Col Alex Vardamis USA,Alex,,Vardamis,Alex Vardamis,male
1982,AMB, John R. Countryman,John,R.,Countryman,John Countryman,male
1982,CON, John E. Roberts,John,E.,Roberts,John Roberts,male
1982,DCM, Stephen W. Buck,Stephen,W.,Buck,Stephen Buck,male
1982,ADM, Robert W. Kepler,Robert,W.,Kepler,Robert Kepler,male
1982,PAO," William D. Cavness, Jr.",William,D.,Cavness,William Cavness,male
1982,POL, Mati Lohuaru,Mati,,Lohuaru,Mati Lohuaru,male
1982,REP, Chester S. Bell,Chester,S.,Bell,Chester Bell,male
1982,AMB, Ronald I. Spiers,Ronald,I.,Spiers,Ronald Spiers,male
1982,AGR, Charles M.,Charles,,M.,Charles M.,male
1982,DCM," Barrington King, Jr.",Barrington,,King,Barrington King,unknown
1982,AID, Bryant George,Bryant,,George,Bryant George,male
1982,POL, John L. Hirsch,John,L.,Hirsch,John Hirsch,male
1982,PAO, James,James,,,James ,male
1982,CON, Moosa A. Valli,Moosa,A.,Valli,Moosa Valli,unknown
1982,NAU, Stanley D. Samuelson,Stanley,D.,Samuelson,Stanley Samuelson,male
1982,ADM, Richard N. Dertadian,Richard,N.,Dertadian,Richard Dertadian,male
1982,ODA, Col Harold A.,Harold,,A.,Harold A.,male
1982,RSO, Douglas K. Roberts,Douglas,K.,Roberts,Douglas Roberts,male
1982,CG, Richard St. F. Post,Richard,,St. F. Post,Richard St. F. Post,male
1982,CON, Elizabeth J. Berube,Elizabeth,J.,Berube,Elizabeth Berube,female
1982,ADM, Alton R. Baysden,Alton,R.,Baysden,Alton Baysden,male
1982,COM, David E. Brantley,David,E.,Brantley,David Brantley,male
1982,BPAO, Paul J. Rappaport,Paul,J.,Rappaport,Paul Rappaport,male
1982,CG, John S. Brims,John,S.,Brims,John Brims,male
1982,CON, Raymond J. Pepper,Raymond,J.,Pepper,Raymond Pepper,male
1982,ADM, Roger C. Nottingham,Roger,C.,Nottingham,Roger Nottingham,male
1982,BPAO, Sherman Ross,Sherman,,Ross,Sherman Ross,male
1982,PO, Douglas B. Archard,Douglas,B.,Archard,Douglas Archard,male
1982,CON," Apartado 6959, R.P. 5",5,5,Apartado 6959,5 Apartado 6959,unknown
1982,AMB," Ambler H. Moss, Jr.",Ambler,H.,Moss,Ambler Moss,unknown
1982,AGR, Franklin D. Lee,Franklin,D.,Lee,Franklin Lee,male
1982,DCM," Melville E. Blake, Jr.",Melville,E.,Blake,Melville Blake,unknown
1982,ECO, J. Peter Becker,Peter,Peter,Becker,Peter Becker,male
1982,COM, Dale V. Slaght,Dale,V.,Slaght,Dale Slaght,mostly_male
1982,AID, Robin Gomez,Robin,,Gomez,Robin Gomez,mostly_male
1982,POL, Richard,Richard,,,Richard ,male
1982,PAO, Robert A. Powers,Robert,A.,Powers,Robert Powers,male
1982,LAB, Donald,Donald,,,Donald ,male
1982,ODA, LtC Gerald V. Walker,Gerald,V.,Walker,Gerald Walker,male
1982,CON, Howard,Howard,,,Howard ,male
1982,RSO, Frederick C. Lecker,Frederick,C.,Lecker,Frederick Lecker,male
1982,AMB, M. Virginia Schafer,Virginia,Virginia,Schafer,Virginia Schafer,female
1982,PAO, Michael A. Betcher,Michael,A.,Betcher,Michael Betcher,male
1982,DCM, Patrick E. FitzGerald,Patrick,E.,FitzGerald,Patrick FitzGerald,male
1982,ODA, Col William P.,William,,P.,William P.,male
1982,CON, Albert P. Ishkanian,Albert,P.,Ishkanian,Albert Ishkanian,male
1982,ADM, Robert L. Fretz,Robert,L.,Fretz,Robert Fretz,male
1982,AMB, Lyle F. Lane,Lyle,F.,Lane,Lyle Lane,male
1982,AGR, James V. Parker,James,V.,Parker,James Parker,male
1982,DCM, J. Ford Cooper,Ford,Ford,Cooper,Ford Cooper,unknown
1982,POL, Roger A. McGuire,Roger,A.,McGuire,Roger McGuire,male
1982,AID, Abe M. Pena,Abe,M.,Pena,Abe Pena,male
1982,CON," Edmund P. Glowen, Jr.",Edmund,P.,Glowen,Edmund Glowen,male
1982,PAO, Donna Oglesby,Donna,,Oglesby,Donna Oglesby,female
1982,ADM, Franklin D. English,Franklin,D.,English,Franklin English,male
1982,ODA, Col Joe F. Veytia,Joe,F.,Veytia,Joe Veytia,male
1982,AMB," Frank V. Ortiz, Jr.",Frank,V.,Ortiz,Frank Ortiz,male
1982,DCM, Gerald P. Lamberty,Gerald,P.,Lamberty,Gerald Lamberty,male
1982,AID, Malcolm H. Butler,Malcolm,H.,Butler,Malcolm Butler,male
1982,ECO, M. Gordon Jones,Gordon,Gordon,Jones,Gordon Jones,male
1982,PAO, William R. Lenderking,William,R.,Lenderking,William Lenderking,male
1982,COM, Steven B. Ordal,Steven,B.,Ordal,Steven Ordal,male
1982,NAU, Larry C. Thompson,Larry,C.,Thompson,Larry Thompson,male
1982,POL, Daniel H. Clare,Daniel,H.,Clare,Daniel Clare,male
1982,ODA, Capt Lucian Martinez,Lucian,,Martinez,Lucian Martinez,male
1982,LAB, Richard T. Booth,Richard,T.,Booth,Richard Booth,male
1982,CON, Cecil S. Richardson,Cecil,S.,Richardson,Cecil Richardson,male
1982,ADM, Edward T. Paukert,Edward,T.,Paukert,Edward Paukert,male
1982,RSO, Martin C. Dougherty,Martin,C.,Dougherty,Martin Dougherty,male
1982,CHG, James D. Rosenthal,James,D.,Rosenthal,James Rosenthal,male
1982,AGR, John E. Riesz,John,E.,Riesz,John Riesz,male
1982,ECO, Edson W. Kempe,Edson,W.,Kempe,Edson Kempe,male
1982,AID, Anthony,Anthony,,,Anthony ,male
1982,COM, Thomas C. Moore,Thomas,C.,Moore,Thomas Moore,male
1982,POL, PAO.,PAO.,,,PAO. ,unknown
1982,PAO, Clifford E. Southard,Clifford,E.,Southard,Clifford Southard,male
1982,LAB, Leonard Sandman,Leonard,,Sandman,Leonard Sandman,male
1982,ODA, Col Richard G.,Richard,,G.,Richard G.,male
1982,CON, Vernon D. McAninch,Vernon,D.,McAninch,Vernon McAninch,male
1982,ADM, Paul Sadler,Paul,,Sadler,Paul Sadler,male
1982,PO, Gilbert H.,Gilbert,,H.,Gilbert H.,male
1982,CON, Kevin T. McConnell,Kevin,T.,McConnell,Kevin McConnell,male
1982,BPAO, Lane T. Cubstead,Lane,T.,Cubstead,Lane Cubstead,male
1982,AMB, Francis J. Meehan,Francis,J.,Meehan,Francis Meehan,male
1982,RSO, Roy R. Higgins,Roy,R.,Higgins,Roy Higgins,male
1982,DCM," Herbert E. Wilgis, Jr.",Herbert,E.,Wilgis,Herbert Wilgis,male
1982,SCI, John W. Zerolis,John,W.,Zerolis,John Zerolis,male
1982,ECO, Ralph R. Moore,Ralph,R.,Moore,Ralph Moore,male
1982,AGR, Guy Haviland,Guy,,Haviland,Guy Haviland,male
1982,COM," August Maffrey, Jr.",August,,Maffrey,August Maffrey,male
1982,ATO, Charles J. Larson,Charles,J.,Larson,Charles Larson,male
1982,POL, John R. Vought,John,R.,Vought,John Vought,male
1982,CON, Rolfe B. Daniels,Rolfe,B.,Daniels,Rolfe Daniels,unknown
1982,ADM," Michael J. McLaughlin, Jr.",Michael,J.,McLaughlin,Michael McLaughlin,male
1982,ODA, Col Charles L.,Charles,,L.,Charles L.,male
1982,DIR," August Maffrey, Jr.",August,,Maffrey,August Maffrey,male
1982,PO, Carl A. Bastiani,Carl,A.,Bastiani,Carl Bastiani,male
1982,ADM, Frederick Polasky,Frederick,,Polasky,Frederick Polasky,male
1982,CON, Dean Ortblad,Dean,,Ortblad,Dean Ortblad,male
1982,BCAO, Cesar Beltran,Cesar,,Beltran,Cesar Beltran,male
1982,PO, Harry E. Jones,Harry,E.,Jones,Harry Jones,male
1982,ADM, Helene F.,Helene,,F.,Helene F.,female
1982,BCAO, Richard C. Lundberg,Richard,C.,Lundberg,Richard Lundberg,male
1982,AMB, Richard J. Bloomfield,Richard,J.,Bloomfield,Richard Bloomfield,male
1982,AGR, Richard T.,Richard,,T.,Richard T.,male
1982,DCM, Edward M. Rowell,Edward,M.,Rowell,Edward Rowell,male
1982,ECO, Stephen B. Watkins,Stephen,B.,Watkins,Stephen Watkins,male
1982,AID, Donald R. Finberg,Donald,R.,Finberg,Donald Finberg,male
1982,COM, Thomas H. Caswell ||,Thomas,H. Caswell,||,Thomas ||,male
1982,PAO, John C. Scafe,John,C.,Scafe,John Scafe,male
1982,POL, Datus C. Proper,Datus,C.,Proper,Datus Proper,unknown
1982,ODA, Col Roy C. Dalton,Roy,C.,Dalton,Roy Dalton,male
1982,LAB, John B. Gwynn,John,B.,Gwynn,John Gwynn,male
1982,CON, James A. Smith,James,A.,Smith,James Smith,male
1982,ADM, Emile F. Morin,Emile,F.,Morin,Emile Morin,male
1982,PO, Robert F. Illing,Robert,F.,Illing,Robert Illing,male
1982,CON, Francis T. Scanlan,Francis,T.,Scanlan,Francis Scanlan,male
1982,PO, Ruth S. Matthews,Ruth,S.,Matthews,Ruth Matthews,female
1982,CON, Stephanie A. Smith,Stephanie,A.,Smith,Stephanie Smith,female
1982,AMB, Charles E. Marthinsen,Charles,E.,Marthinsen,Charles Marthinsen,male
1982,ADM, ECO/COM: Steven L. Blake,ECO/COM:,Steven L.,Blake,ECO/COM: Blake,unknown
1982,PAO, James L. Bullock,James,L.,Bullock,James Bullock,male
1982,CON, Joseph,Joseph,,,Joseph ,male
1982,AMB, David B. Funderburk,David,B.,Funderburk,David Funderburk,male
1982,RSO, Edward Motekew,Edward,,Motekew,Edward Motekew,male
1982,DCM, Herbert Kaiser,Herbert,,Kaiser,Herbert Kaiser,male
1982,SCI, John C. Zimmerman,John,C.,Zimmerman,John Zimmerman,male
1982,ECO, Alan Parker,Alan,,Parker,Alan Parker,male
1982,AGR, Larry Panasuk,Larry,,Panasuk,Larry Panasuk,male
1982,COM, E. Scott Bozek,Scott,Scott,Bozek,Scott Bozek,male
1982,POL, Stephen T. Johnson,Stephen,T.,Johnson,Stephen Johnson,male
1982,CON, John W. Vessey,John,W.,Vessey,John Vessey,male
1982,ADM, Ronald,Ronald,,,Ronald ,male
1982,AMB, Harry,Harry,,,Harry ,male
1982,GSO, Madeleine M. Brown,Madeleine,M.,Brown,Madeleine Brown,female
1982,DCM, Donald,Donald,,,Donald ,male
1982,AID, Eugene,Eugene,,,Eugene ,male
1982,PAO, Thomas G. Hart,Thomas,G.,Hart,Thomas Hart,male
1982,AMB, Richard W. Murphy,Richard,W.,Murphy,Richard Murphy,male
1982,ADM, Eugene,Eugene,,,Eugene ,male
1982,DCM, James A. Placke,James,A.,Placke,James Placke,male
1982,RSO, Andrew Dillard,Andrew,,Dillard,Andrew Dillard,male
1982,COM, Robert,Robert,,,Robert ,male
1982,PAO, Howard H. RuSSell,Howard,H.,RuSSell,Howard RuSSell,male
1982,POL, David G. Newton,David,G.,Newton,David Newton,male
1982,ODA, Col Hollis D. Messer,Hollis,D.,Messer,Hollis Messer,mostly_male
1982,CON, Fernando Sanchez,Fernando,,Sanchez,Fernando Sanchez,male
1982,CG, James M. Ealum,James,M.,Ealum,James Ealum,male
1982,ADM, Raymond,Raymond,,,Raymond ,male
1982,DPO, William Polik,William,,Polik,William Polik,male
1982,BPAO, John F. Burgess,John,F.,Burgess,John Burgess,male
1982,CON, Gwendolyn,Gwendolyn,,,Gwendolyn ,female
1982,USICA, PO:,PO:,,,PO: ,unknown
1982,PO, Frederick H. Gerlach,Frederick,H.,Gerlach,Frederick Gerlach,male
1982,CON, Walter N. Pflaumer,Walter,N.,Pflaumer,Walter Pflaumer,male
1982,ECO, John B. Craig,John,B.,Craig,John Craig,male
1982,ADM, Charles Nichols,Charles,,Nichols,Charles Nichols,male
1982,COM, Bruce Carter,Bruce,,Carter,Bruce Carter,male
1982,DPAO, Donald B. Cofman,Donald,B.,Cofman,Donald Cofman,male
1982,FIN, Robert L. Walker,Robert,L.,Walker,Robert Walker,male
1982,DIR, F. Joe Hunt,Joe,Joe,Hunt,Joe Hunt,male
1982,DEP, Gerald Olsen,Gerald,,Olsen,Gerald Olsen,male
1982,AMB, Charles W. Bray,Charles,W.,Bray,Charles Bray,male
1982,RSO, Arthur A. Maurel,Arthur,A.,Maurel,Arthur Maurel,male
1982,DCM, Edmund T. DeJarnette,Edmund,T.,DeJarnette,Edmund DeJarnette,male
1982,POL, David P. Rawson,David,P.,Rawson,David Rawson,male
1982,PAO, Arthur,Arthur,,,Arthur ,male
1982,ADM, Stanley,Stanley,,,Stanley ,male
1982,CHG, Stephen P. Dawkins,Stephen,P.,Dawkins,Stephen Dawkins,male
1982,ADM," Tibor P. Nagy, Jr.",Tibor,P.,Nagy,Tibor Nagy,male
1982,CON, Michael B. Doyle,Michael,B.,Doyle,Michael Doyle,male
1982,AMB, Theresa A. Healy,Theresa,A.,Healy,Theresa Healy,female
1982,DCM, Richard J. Tierney,Richard,J.,Tierney,Richard Tierney,male
1982,PAO, Robert A. Merian,Robert,A.,Merian,Robert Merian,male
1982,ADM, Alphonso,Alphonso,,,Alphonso ,unknown
1982,AMB, Harry E. T. Thayer,Harry,E. T.,Thayer,Harry Thayer,male
1982,CON, James H. Lassiter,James,H.,Lassiter,James Lassiter,male
1982,DCM, Morton S. Smith,Morton,S.,Smith,Morton Smith,male
1982,ADM, Maurice N. Grainek,Maurice,N.,Grainek,Maurice Grainek,male
1982,ATO, James Y. Iso,James,,Y.,James Y.,male
1982,COM, Geoffrey H. Walser,Geoffrey,H.,Walser,Geoffrey Walser,male
1982,PAO, Edward F. Conyngham,Edward,F.,Conyngham,Edward Conyngham,male
1982,POL, J. Anthony Allitto,Anthony,Anthony,Allitto,Anthony Allitto,male
1982,ODA, Capt Thomas W.,Thomas,,W.,Thomas W.,male
1982,DIR, W. Donn Heaney,Donn,Donn,Heaney,Donn Heaney,male
1982,AMB, Donald K. Petterson,Donald,K.,Petterson,Donald Petterson,male
1982,DCM, Donald E. Huth,Donald,E.,Huth,Donald Huth,male
1982,ADM, Guy Davis,Guy,,Davis,Guy Davis,male
1982,AID, James Kelly,James,,Kelly,James Kelly,male
1982,CON," John J. Keefe, Jr.",John,J.,Keefe,John Keefe,male
1982,PAO, Terry C. Eakin,Terry,C.,Eakin,Terry Eakin,mostly_male
1982,POL, Janet Crist,Janet,,Crist,Janet Crist,female
1982,ODA, Ltc. Howell C.,Howell,,C.,Howell C.,male
1982,AMB, William B. Edmondson,William,B.,Edmondson,William Edmondson,male
1982,RSO, Frank D. Durfey,Frank,D.,Durfey,Frank Durfey,male
1982,DCM, Howard K. Walker,Howard,K.,Walker,Howard Walker,male
1982,PAO, Joann Lewinsohn,Joann,,Lewinsohn,Joann Lewinsohn,female
1982,ODA, Col David M.,David,,M.,David M.,male
1982,POL, Dennis W. Keogh,Dennis,W.,Keogh,Dennis Keogh,male
1982,ADM, Jean Gildea,Jean,,Gildea,Jean Gildea,male
1982,CG, Alan W. Lukens,Alan,W.,Lukens,Alan Lukens,male
1982,ADM, Willard J. Wynne,Willard,J.,Wynne,Willard Wynne,male
1982,BPAO, Ray M. McGunigle,Ray,M.,McGunigle,Ray McGunigle,mostly_male
1982,CG, Alan Logan,Alan,,Logan,Alan Logan,male
1982,CON, Curtis M. Stewart,Curtis,M.,Stewart,Curtis Stewart,male
1982,BPAO, David H. Lambert,David,H.,Lambert,David Lambert,male
1982,CG, George Trail,George,,Trail,George Trail,male
1982,CON, Roger,Roger,,,Roger ,male
1982,BPAO, Frank C. Strovas,Frank,C.,Strovas,Frank Strovas,male
1982,AMB, Terence A. Todman,Terence,A.,Todman,Terence Todman,male
1982,ADM, Bert C. Moore,Bert,C.,Moore,Bert Moore,male
1982,DCM, Robert,Robert,,,Robert ,male
1982,AGR, Fred W. Traeger,Fred,W.,Traeger,Fred Traeger,male
1982,SCI, Robert Goeckermann,Robert,,Goeckermann,Robert Goeckermann,male
1982,COM," John W. Bligh, Jr.",John,W.,Bligh,John Bligh,male
1982,PAO, Serban Vallimarescu,Serban,,Vallimarescu,Serban Vallimarescu,male
1982,POL," Ashley Hewitt, Jr.",Ashley,,Hewitt,Ashley Hewitt,mostly_female
1982,ODA, Col Edwin E.,Edwin,,E.,Edwin E.,male
1982,LAB, John,John,,,John ,male
1982,CON, Blaine C. Tueller,Blaine,C.,Tueller,Blaine Tueller,male
1982,RSO, John M. Swafford,John,M.,Swafford,John Swafford,male
1982,CG, Albert N. Williams,Albert,N.,Williams,Albert Williams,male
1982,ADM, Philip,Philip,,,Philip ,male
1982,COM, Kevin C. Brennan,Kevin,C.,Brennan,Kevin Brennan,male
1982,BPAO, John B. Barton,John,B.,Barton,John Barton,male
1982,CON, Walter,Walter,,,Walter ,male
1982,CG, Frederick D. Purdy,Frederick,D.,Purdy,Frederick Purdy,male
1982,ADM, Karen E. Krueger,Karen,E.,Krueger,Karen Krueger,female
1982,CON, Nicholas J. Ricciuti,Nicholas,J.,Ricciuti,Nicholas Ricciuti,male
1982,PO, W. Kenneth,,,Kenneth, Kenneth,unknown
1982,CON," Charles Glatz, Jr.",Charles,,Glatz,Charles Glatz,male
1982,AMB, John H. Reed,John,H.,Reed,John Reed,male
1982,DCM, Herbert G. Hagerty,Herbert,G.,Hagerty,Herbert Hagerty,male
1982,AID, Sarah J. Littlefield,Sarah,J.,Littlefield,Sarah Littlefield,female
1982,POL," Kenneth M. Scott, Jr.",Kenneth,M.,Scott,Kenneth Scott,male
1982,PAO, Richard C.,Richard,,C.,Richard C.,male
1982,LAB, Jonathan,Jonathan,,,Jonathan ,male
1982,CON, ODA.,ODA.,,,ODA. ,unknown
1982,ODA, Cor John J. Miller,Cor,John J.,Miller,Cor Miller,mostly_male
1982,ADM, Patrick R. Hayes,Patrick,R.,Hayes,Patrick Hayes,male
1982,AMB, C. William Kontos,William,William,Kontos,William Kontos,male
1982,CON, Clarence A. Hudson,Clarence,A.,Hudson,Clarence Hudson,male
1982,DCM, John S. Davison,John,S.,Davison,John Davison,male
1982,ADM, Gerald C. Mull,Gerald,C.,Mull,Gerald Mull,male
1982,ECO, Ralph Winstanley ||,Ralph,Winstanley,||,Ralph ||,male
1982,AID, Arthur Mudge,Arthur,,Mudge,Arthur Mudge,male
1982,COM, Eric H. Madison,Eric,H.,Madison,Eric Madison,male
1982,PAO, Stuart Halpine,Stuart,,Halpine,Stuart Halpine,male
1982,POL, Alan L. Keiswetter,Alan,L.,Keiswetter,Alan Keiswetter,male
1982,AMB," John J. Crowley, Jr.",John,J.,Crowley,John Crowley,male
1982,PAO, Edward Donovan,Edward,,Donovan,Edward Donovan,male
1982,DCM, Richard L. Laroche,Richard,L.,Laroche,Richard Laroche,male
1982,ECO, Jack P. Gatewood,Jack,P.,Gatewood,Jack Gatewood,male
1982,POL, Arnold H. Campbell,Arnold,H.,Campbell,Arnold Campbell,male
1982,ODA, Ltc.Albert P. Buys,,,Buys, Buys,unknown
1982,ADM, Martha L. Campbell,Martha,L.,Campbell,Martha Campbell,female
1982,AMB, Richard C. Matheron,Richard,C.,Matheron,Richard Matheron,male
1982,ADM, John S. Steele,John,S.,Steele,John Steele,male
1982,AID, Julius Coles,Julius,,Coles,Julius Coles,male
1982,CON, Wilfred J. Charette,Wilfred,J.,Charette,Wilfred Charette,male
1982,PAO, Conrad Stolzenbach,Conrad,,Stolzenbach,Conrad Stolzenbach,male
1982,AMB, Franklin S. Forsberg,Franklin,S.,Forsberg,Franklin Forsberg,male
1982,ADM, James F. McKinlay,James,F.,McKinlay,James McKinlay,male
1982,DCM, William C. Hamilton,William,C.,Hamilton,William Hamilton,male
1982,RSO, Henry D. Bishop,Henry,D.,Bishop,Henry Bishop,male
1982,ECO, Edward M. Cohen,Edward,M.,Cohen,Edward Cohen,male
1982,SCI, Albert S. Chapman,Albert,S.,Chapman,Albert Chapman,male
1982,COM, F. Pierce Olson,Pierce,Pierce,Olson,Pierce Olson,male
1982,POL, Jenonne,Jenonne,,,Jenonne ,unknown
1982,PAO, C.M. Fry,,,Fry, Fry,unknown
1982,LAB, Dan E. Turnquist,Dan,E.,Turnquist,Dan Turnquist,male
1982,ODA, Col Michael R.,Michael,,R.,Michael R.,male
1982,CON, Robert F. Dorr,Robert,F.,Dorr,Robert Dorr,male
1982,AMB, Faith R. Whittlesey,Faith,R.,Whittlesey,Faith Whittlesey,female
1982,AGR, Robert S.,Robert,,S.,Robert S.,male
1982,DCM, Charles R. Stout,Charles,R.,Stout,Charles Stout,male
1982,ECO, Gerald J. Monroe,Gerald,J.,Monroe,Gerald Monroe,male
1982,FIN, James H. Fall,James,H.,Fall,James Fall,male
1982,COM, James N. May,James,N.,May,James May,male
1982,PAO, Peter ReuSS,Peter,,ReuSS,Peter ReuSS,male
1982,CON, Lewis A. Kert,Lewis,A.,Kert,Lewis Kert,male
1982,ODA, Col George E.,George,,E.,George E.,male
1982,POL, James W. Shinn,James,W.,Shinn,James Shinn,male
1982,ADM, Dan J. Thal,Dan,J.,Thal,Dan Thal,male
1982,CG, David H. Swartz,David,H.,Swartz,David Swartz,male
1982,CON, Thomas J. Rice,Thomas,J.,Rice,Thomas Rice,male
1982,CON, Patsy G. Stephens,Patsy,G.,Stephens,Patsy Stephens,mostly_female
1982,LAB, John C. Stephens,John,C.,Stephens,John Stephens,male
1982,CHG, Don C. Eller,Don,C.,Eller,Don Eller,male
1982,SPEC, AGENCY AFF: ECO:,AGENCY,AFF:,ECO:,AGENCY ECO:,unknown
1982,ECO, John St. John,John,,St. John,John St. John,male
1982,RIGHTS, Karl Beck,Karl,,Beck,Karl Beck,male
1982,ADM, Frank A. Forgione,Frank,A.,Forgione,Frank Forgione,male
1982,RSO, Arthur D. Hanrehan,Arthur,D.,Hanrehan,Arthur Hanrehan,male
1982,PAO, Henry W. Grady,Henry,W.,Grady,Henry Grady,male
1982,CM, Amb. Michael B. Smith,Michael,B.,Smith,Michael Smith,male
1982,AGR, Anthony Cruit,Anthony,,Cruit,Anthony Cruit,male
