year,rank,name,first_clean,middle,last,firstlast,gender_guess
1965,CONSULATE GENERAL, Georgetown,Georgetown,,,Georgetown ,unknown
1965,CONSUL GENERAL, Delmar R. Carlson,Delmar,R.,Carlson,Delmar Carlson,male
1965,ECONOMIC SECTION, George W. Ogg,George,W.,Ogg,George Ogg,male
1965,AID REPRESENTATIVE, Harry W. Yoe,Harry,W.,Yoe,Harry Yoe,male
1965,LEGATION, Sofia,Sofia,,,Sofia ,female
1965,DEPUTY CHIEF OF MISSION, Richard E. Johnson,Richard,E.,Johnson,Richard Johnson,male
1965,POLITICAL SECTION, Timothy A. Pfeiffer,Timothy,A.,Pfeiffer,Timothy Pfeiffer,male
1965,ECONOMIC SECTION, Donald C. Tice,Donald,C.,Tice,Donald Tice,male
1965,AMBASSADOR, Henry A. Byroade,Henry,A.,Byroade,Henry Byroade,male
1965,POLITICAL SECTION, Kingdon W. Swayne,Kingdon,W.,Swayne,Kingdon Swayne,unknown
1965,ECONOMIC SECTION, Lubert O. Sanderhoff,Lubert,O.,Sanderhoff,Lubert Sanderhoff,unknown
1965,AMBASSADOR, Donald A. Dumont,Donald,A.,Dumont,Donald Dumont,male
1965,DEPUTY CHIEF OF MISSION, Thompson R. Buchanan,Thompson,R.,Buchanan,Thompson Buchanan,unknown
1965,POLITICAL SECTION," Martin J. Bergin, Jr.",Martin,J.,Bergin,Martin Bergin,male
1965,DEPUTY CHIEF OF MISSION, Charles K. Moffly,Charles,K.,Moffly,Charles Moffly,male
1965,POLITICAL SECTION, John P. Blane,John,P.,Blane,John Blane,male
1965,ECONOMIC SECTION, Lloyd L. Lee,Lloyd,L.,Lee,Lloyd Lee,male
1965,AMBASSADOR, W. Walton Butterworth,Walton,Walton,Butterworth,Walton Butterworth,male
1965,DEPUTY CHIEF OF MISSON, Joseph W. Scott,Joseph,W.,Scott,Joseph Scott,male
1965,POLITICAL SECTION," William M. Johnson, Jr.",William,M.,Johnson,William Johnson,male
1965,ECONOMIC SECTION, Francis A. Linville,Francis,A.,Linville,Francis Linville,male
1965,COMMERCIAL SECTION, Leonard H. Price,Leonard,H.,Price,Leonard Price,male
1965,AGRICULTURAL ATTACHE, John C. McDonald,John,C.,McDonald,John McDonald,male
1965,CONSULATE GENERAL," Calgary, Alberta",Alberta,,Calgary,Alberta Calgary,female
1965,CONSUL GENERAL, John L. Hagan,John,L.,Hagan,John Hagan,male
1965,CONSULATE GENERAL," Halifax, Nova Scotia",Nova,Scotia,Halifax,Nova Halifax,female
1965,CONSUL GENERAL, Robert S. Black,Robert,S.,Black,Robert Black,male
1965,CONSULATE GENERAL," Montreal, Quebec",Quebec,,Montreal,Quebec Montreal,unknown
1965,CONSUL GENERAL," Richard H. Hawkins, Jr.",Richard,H.,Hawkins,Richard Hawkins,male
1965,ECONOMIC SECTION, Frederick T. Rope,Frederick,T.,Rope,Frederick Rope,male
1965,CONSULATE GENERAL," Quebec, Quebec",Quebec,,Quebec,Quebec Quebec,unknown
1965,CONSUL GENERAL, Jerome T. Gaspard,Jerome,T.,Gaspard,Jerome Gaspard,male
1965,CONSULATE GENERAL," St. John's, Newfoundland",Newfoundland,,St. John's,Newfoundland St. John's,unknown
1965,CONSUL GENERAL, Homer W. Lanford,Homer,W.,Lanford,Homer Lanford,male
1965,CONSULATE GENERAL," Toronto, Ontario",Ontario,,Toronto,Ontario Toronto,unknown
1965,CONSUL GENERAL," W. Park Armstrong, Jr.",Park,Park,Armstrong,Park Armstrong,unknown
1965,ECONOMIC SECTION, William E. Price,William,E.,Price,William Price,male
1965,CONSULATE GENERAL," Vancouver, British Columbia",Columbia,,Vancouver,Columbia Vancouver,unknown
1965,CONSUL GENERAL, Avery F. Peterson,Avery,F.,Peterson,Avery Peterson,andy
1965,ECONOMIC SECTION, Arne T. Fliflet,Arne,T.,Fliflet,Arne Fliflet,male
1965,CONSULATE GENERAL," Winnipeg, Manitoba",Manitoba,,Winnipeg,Manitoba Winnipeg,unknown
1965,CONSUL GENERAL, John H. Morris,John,H.,Morris,John Morris,male
1965,AMBASSADOR, Claude G. Ross,Claude,G.,Ross,Claude Ross,mostly_male
1965,DEPUTY CHIEF OF MISSION, Edward T. Brennan,Edward,T.,Brennan,Edward Brennan,male
1965,AMBASSADOR, Cecil B. Lyon,Cecil,B.,Lyon,Cecil Lyon,male
1965,DEPUTY CHIEF OF MISSION, LaRue R. Lutkins,LaRue,R.,Lutkins,LaRue Lutkins,unknown
1965,POLITICAL SECTION, David L. Gamon,David,L.,Gamon,David Gamon,male
1965,ECONOMIC SECTION, Michael Calingaert,Michael,,Calingaert,Michael Calingaert,male
1965,AMBASSADOR, Brewster H. Morris,Brewster,H.,Morris,Brewster Morris,unknown
1965,DEPUTY CHIEF OF MISSION, James F. Relph,James,F.,Relph,James Relph,male
1965,AMBASSADOR, Ralph A. Dungan,Ralph,A.,Dungan,Ralph Dungan,male
1965,DEPUTY CHIEF OF MISSION, Joseph J. Jova,Joseph,J.,Jova,Joseph Jova,male
1965,POLITICAL SECTION, Robert A. Stevenson,Robert,A.,Stevenson,Robert Stevenson,male
1965,ECONOMIC SECTION, Thomas R. Favell,Thomas,R.,Favell,Thomas Favell,male
1965,COMMERCIAL SECTION, Morris Allen,Morris,,Allen,Morris Allen,male
1965,AID MISSION DIRECTOR, John P. Robinson,John,P.,Robinson,John Robinson,male
1965,AMBASSADOR, Covey T. Oliver,Covey,T.,Oliver,Covey Oliver,unknown
1965,DEPUTY CHIEF OF MISSION, Henry Dearborn,Henry,,Dearborn,Henry Dearborn,male
1965,POLITICAL SECTION, Stephen A. Comiskey,Stephen,A.,Comiskey,Stephen Comiskey,male
1965,ECONOMIC SECTION, Samuel D. Eaton,Samuel,D.,Eaton,Samuel Eaton,male
1965,COMMERCIAL SECTION, George A. Ellsworth,George,A.,Ellsworth,George Ellsworth,male
1965,AGRICULTURAL ATTACHE, Robert E. Adcock,Robert,E.,Adcock,Robert Adcock,male
1965,AID MISSION DIRECTOR, James R. Fowler,James,R.,Fowler,James Fowler,male
1965,AMBASSADOR, Henry L. T. Koren,Henry,L. T.,Koren,Henry Koren,male
1965,DEPUTY CHIEF OF MISSION, Lloyd M. Rives,Lloyd,M.,Rives,Lloyd Rives,male
1965,POLITICAL SECTION, David A. McDonough,David,A.,McDonough,David McDonough,male
1965,ECONOMIC SECTION, Charles E. Rushing,Charles,E.,Rushing,Charles Rushing,male
1965,AMBASSADOR, G. McMurtrie Godley,McMurtrie,McMurtrie,Godley,McMurtrie Godley,unknown
1965,DEPUTY CHIEF OF MISSION, Robert 0. Blake,Robert,0.,Blake,Robert Blake,male
1965,POLITICAL SECTION, Monteagle Stearns,Monteagle,,Stearns,Monteagle Stearns,unknown
1965,ECONOMIC SECTION, Stuart T. Baron,Stuart,T.,Baron,Stuart Baron,male
1965,COMMERCIAL SECTION, Martin Jacobs,Martin,,Jacobs,Martin Jacobs,male
1965,AGRICULTURAL ATTACHE, Paul J. Ferree,Paul,J.,Ferree,Paul Ferree,male
1965,DEPUTY CHIEF OF MISSION, Philip Raine,Philip,,Raine,Philip Raine,male
1965,POLITICAL SECTION, Cabot Sedgwick,Cabot,,Sedgwick,Cabot Sedgwick,unknown
1965,ECONOMIC SECTION," Melville E. Blake, Jr.",Melville,E.,Blake,Melville Blake,unknown
1965,COMMERCIAL SECTION," James Maish, Jr.",James,,Maish,James Maish,male
1965,AGRICULTURAL ATTACHE, Marshal D. Fox,Marshal,D.,Fox,Marshal Fox,unknown
1965,AID MISSION DIRECTOR, Albert E. Farwell,Albert,E.,Farwell,Albert Farwell,male
1965,AMBASSADOR, Taylor G. Belcher,Taylor,G.,Belcher,Taylor Belcher,mostly_male
1965,DEPUTY CHIEF OFMISSION,    Charles T. Cross,Charles,T.,Cross,Charles Cross,male
1965,POLITICAL SECTION, Robert R. Schott,Robert,R.,Schott,Robert Schott,male
1965,ECONOMIC SECTION," Barrington King, Jr.",Barrington,,King,Barrington King,unknown
1965,AID REPRESENTATIVE, Frederick H. Sligh,Frederick,H.,Sligh,Frederick Sligh,male
1965,AMBASSADOR, Outerbridge Horsey,Outerbridge,,Horsey,Outerbridge Horsey,unknown
1965,DEPUTY CHIEF OF MISSION, Byron E. Blankinship,Byron,E.,Blankinship,Byron Blankinship,male
1965,POLITICAL SECTION, Edward W. Burgess,Edward,W.,Burgess,Edward Burgess,male
1965,ECONOMIC SECTION, Warren E. Slater,Warren,E.,Slater,Warren Slater,male
1965,AMBASSADOR, Clinton E. Knox,Clinton,E.,Knox,Clinton Knox,male
1965,DEPUTY CHIEF OF MISSION," Harland H. Eastman,",Harland,H.,Eastman,Harland Eastman,male
1965,AMBASSADOR, Mrs. Katharine E. White,Katharine,E.,White,Katharine White,female
1965,DEPUTY CHIEF OF MISSION, Stanley S. Carpenter,Stanley,S.,Carpenter,Stanley Carpenter,male
1965,POLITICAL SECTION, Eiler R. Cook,Eiler,R.,Cook,Eiler Cook,male
1965,ECONOMIC SECTION, Roger C. Dixon,Roger,C.,Dixon,Roger Dixon,male
1965,COMMERCIAL SECTION, Marion E. Anderson,Marion,E.,Anderson,Marion Anderson,female
1965,AGRICULTURAL ATTACHE, Harold L. Koeller,Harold,L.,Koeller,Harold Koeller,male
1965,AMBASSADOR," W. Tapley Bennett, Jr.",Tapley,Tapley,Bennett,Tapley Bennett,unknown
1965,DEPUTY CHIEF OF MISSION," William B. Connett, Jr.",William,B.,Connett,William Connett,male
1965,POLITICAL SECTION, Benjamin J. Ruyle,Benjamin,J.,Ruyle,Benjamin Ruyle,male
1965,ECONOMIC SECTION, Dorothy M. Jester,Dorothy,M.,Jester,Dorothy Jester,female
1965,COMMERCIAL SECTION," John B. Perkey, Jr.",John,B.,Perkey,John Perkey,male
1965,AID MISSION DIRECTOR, W. Carter Ide,Carter,Carter,Ide,Carter Ide,male
