text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
CON:,CON:,CON: Daniel J. Morris,CON, Daniel J. Morris,,Daniel,J.,Morris,,Daniel,Daniel Morris
ODA:,ODA:,ODA: Col Ralph D. Miller,ODA, Col Ralph D. Miller,Col,Ralph,D.,Miller,,Ralph,Ralph Miller
ADM:,ADM:,ADM: David C. Bennett,ADM, David C. Bennett,,David,C.,Bennett,,David,David Bennett
AMB:,AMB:,AMB: Marshal| Brement,AMB, Marshal| Brement,,Marshal|,,Brement,,Marshal|,Marshal| Brement
POL:,POL:,POL: Elizabeth P. Spiro,POL, Elizabeth P. Spiro,,Elizabeth,P.,Spiro,,Elizabeth,Elizabeth Spiro
DCM;,DCM;,DCM; Paul F. Canney,DCM, Paul F. Canney,,Paul,F.,Canney,,Paul,Paul Canney
CON:,CON:,CON: David G. Whittlesey,CON, David G. Whittlesey,,David,G.,Whittlesey,,David,David Whittlesey
ADM:,ADM:,ADM: Albert E. Schrock,ADM, Albert E. Schrock,,Albert,E.,Schrock,,Albert,Albert Schrock
PAO:,PAO:,PAO: Thomas M. Martin,PAO, Thomas M. Martin,,Thomas,M.,Martin,,Thomas,Thomas Martin
AMB:,AMB:,"AMB: Harry G. Barnes, Jr.",AMB," Harry G. Barnes, Jr.",,Harry,G.,Barnes,Jr.,Harry,Harry Barnes
RSO:,RSO:,RSO: Stanley Bielinski,RSO, Stanley Bielinski,,Stanley,,Bielinski,,Stanley,Stanley Bielinski
DCM:,DCM:,DCM: Archer K. Blood,DCM, Archer K. Blood,,Archer,K.,Blood,,Archer,Archer Blood
SCI:,SCI:,SCI: Robert A. Stella,SCI, Robert A. Stella,,Robert,A.,Stella,,Robert,Robert Stella
ECO:,ECO:,ECO: Martin G. Heflin,ECO, Martin G. Heflin,,Martin,G.,Heflin,,Martin,Martin Heflin
AGR:,AGR:,AGR: W. Garth Thorburn,AGR, W. Garth Thorburn,,W.,Garth,Thorburn,,Garth,Garth Thorburn
COM:,COM:,COM: Hallock,COM, Hallock,,Hallock,,,,Hallock,Hallock 
AID:,AID:,AID: Priscilla,AID, Priscilla,,Priscilla,,,,Priscilla,Priscilla 
PAO:,PAO:,PAO: Michael,PAO, Michael,,Michael,,,,Michael,Michael 
LAB:,LAB:,LAB: James,LAB, James,,James,,,,James,James 
ODA.,ODA.,ODA. Col Robert A. Farr,ODA, Col Robert A. Farr,Col,Robert,A.,Farr,,Robert,Robert Farr
CON:,CON:,CON: Bobby L. Watson,CON, Bobby L. Watson,,Bobby,L.,Watson,,Bobby,Bobby Watson
ADM:,ADM:,ADM: Byron D. Walker,ADM, Byron D. Walker,,Byron,D.,Walker,,Byron,Byron Walker
CG:,CG:,CG: J. Bruce Amstutz,CG, J. Bruce Amstutz,,J.,Bruce,Amstutz,,Bruce,Bruce Amstutz
CON:,CON:,CON: Joyce A. Smith,CON, Joyce A. Smith,,Joyce,A.,Smith,,Joyce,Joyce Smith
ADM:,ADM:,ADM: Robert B. Courtney,ADM, Robert B. Courtney,,Robert,B.,Courtney,,Robert,Robert Courtney
COM:,COM:,COM: Monroe E. Aderhold,COM, Monroe E. Aderhold,,Monroe,E.,Aderhold,,Monroe,Monroe Aderhold
BPAO:,BPAO:,BPAO: Edgar E. Noel,BPAO, Edgar E. Noel,,Edgar,E.,Noel,,Edgar,Edgar Noel
CG:,CG:,CG: George Sherman,CG, George Sherman,,George,,Sherman,,George,George Sherman
CON:,CON:,CON: Roger D. Pierce,CON, Roger D. Pierce,,Roger,D.,Pierce,,Roger,Roger Pierce
ADM:,ADM:,ADM: Grafton Jenkins,ADM, Grafton Jenkins,,Grafton,,Jenkins,,Grafton,Grafton Jenkins
BPAO:,BPAO:,BPAO: Frank P. Catanoso,BPAO, Frank P. Catanoso,,Frank,P.,Catanoso,,Frank,Frank Catanoso
POL:,POL:,POL: William D. Murray,POL, William D. Murray,,William,D.,Murray,,William,William Murray
CG:,CG:,CG: Douglas M. Cochran,CG, Douglas M. Cochran,,Douglas,M.,Cochran,,Douglas,Douglas Cochran
ADM:,ADM:,ADM: Alberta Rorick,ADM, Alberta Rorick,,Alberta,,Rorick,,Alberta,Alberta Rorick
BPAO: Christopher,BPAO: Christopher,BPAO: Christopher,BPAO, Christopher,,Christopher,,,,Christopher,Christopher 
CON:,CON:,CON: M. Patricia Wazer,CON, M. Patricia Wazer,,M.,Patricia,Wazer,,Patricia,Patricia Wazer
CHG:,CHG:,CHG: John C. Monjo,CHG, John C. Monjo,,John,C.,Monjo,,John,John Monjo
ADM:,ADM:,ADM: Frank M. Ravndal,ADM, Frank M. Ravndal,,Frank,M.,Ravndal,,Frank,Frank Ravndal
ECO:,ECO:,ECO: Joseph A. Winder,ECO, Joseph A. Winder,,Joseph,A.,Winder,,Joseph,Joseph Winder
RSO:,RSO:,RSO: Stephen H. Jacobs,RSO, Stephen H. Jacobs,,Stephen,H.,Jacobs,,Stephen,Stephen Jacobs
COM:,COM:,COM: Franklin J. Kline,COM, Franklin J. Kline,,Franklin,J.,Kline,,Franklin,Franklin Kline
AID:,AID:,AID: William P. Fuller IV,AID, William P. Fuller IV,,William,P.,Fuller,IV,William,William Fuller
POL.,POL.,POL. W. Scott Butcher,POL, W. Scott Butcher,,W.,Scott,Butcher,,Scott,Scott Butcher
AGR:,AGR:,AGR: Alan W. Trick,AGR, Alan W. Trick,,Alan,W.,Trick,,Alan,Alan Trick
LAB.,LAB.,LAB. Edward B. Rosenthal,LAB, Edward B. Rosenthal,,Edward,B.,Rosenthal,,Edward,Edward Rosenthal
PAO:,PAO:,"PAO: Fred A. Coffey, Jr.",PAO," Fred A. Coffey, Jr.",,Fred,A.,Coffey,Jr.,Fred,Fred Coffey
ODA.,ODA.,ODA. Col John Kizirian,ODA, Col John Kizirian,Col,John,,Kizirian,,John,John Kizirian
PO:,PO:,PO: Susan,PO, Susan,,Susan,,,,Susan,Susan 
ADM:,ADM:,ADM: Larry J. Kozak,ADM, Larry J. Kozak,,Larry,J.,Kozak,,Larry,Larry Kozak
BPAO: Patricia Sharpe,BPAO: Patricia Sharpe,BPAO: Patricia Sharpe,BPAO, Patricia Sharpe,,Patricia,,Sharpe,,Patricia,Patricia Sharpe
CON:,CON:,CON: Roger P. Sherman,CON, Roger P. Sherman,,Roger,P.,Sherman,,Roger,Roger Sherman
PO:,PO:,PO: Philip Gill,PO, Philip Gill,,Philip,,Gill,,Philip,Philip Gill
ADM:,ADM:,ADM: Alfreda Meyers,ADM, Alfreda Meyers,,Alfreda,,Meyers,,Alfreda,Alfreda Meyers
BPAO:,BPAO:,BPAO: Nicholas,BPAO, Nicholas,,Nicholas,,,,Nicholas,Nicholas 
PO:,PO:,"PO: William L. Eagleton, Jr.",PO," William L. Eagleton, Jr.",,William,L.,Eagleton,Jr.,William,William Eagleton
CON:,CON:,CON: Robert W. Dry,CON, Robert W. Dry,,Robert,W.,Dry,,Robert,Robert Dry
DPO:,DPO:,DPO: Barbara K. Bodine,DPO, Barbara K. Bodine,,Barbara,K.,Bodine,,Barbara,Barbara Bodine
ADM:,ADM:,ADM: Richard H. Smyth,ADM, Richard H. Smyth,,Richard,H.,Smyth,,Richard,Richard Smyth
ECO:,ECO:,ECO: Robert C. Campbell,ECO, Robert C. Campbell,,Robert,C.,Campbell,,Robert,Robert Campbell
AGR:,AGR:,AGR: Pitamber Devgon,AGR, Pitamber Devgon,,Pitamber,,Devgon,,Pitamber,Pitamber Devgon
COM:,COM:,COM: Hampton E. Brown,COM, Hampton E. Brown,,Hampton,E.,Brown,,Hampton,Hampton Brown
POL:,POL:,POL: Gene M. McGill,POL, Gene M. McGill,,Gene,M.,McGill,,Gene,Gene McGill
PAO:,PAO:,PAO: Walter White,PAO, Walter White,,Walter,,White,,Walter,Walter White
ADM:,ADM:,ADM: John H. Dieffenderfer,ADM, John H. Dieffenderfer,,John,H.,Dieffenderfer,,John,John Dieffenderfer
CHG:,CHG:,CHG: Charles,CHG, Charles,,Charles,,,,Charles,Charles 
AGR:,AGR:,AGR: Margaret,AGR, Margaret,,Margaret,,,,Margaret,Margaret 
PAO:,PAO:,PAO: Ronald D. Clifton,PAO, Ronald D. Clifton,,Ronald,D.,Clifton,,Ronald,Ronald Clifton
POL:,POL:,POL: W. Alan Roy,POL, W. Alan Roy,,W.,Alan,Roy,,Alan,Alan Roy
CON:,CON:,CON: Manuel,CON, Manuel,,Manuel,,,,Manuel,Manuel 
AMB:,AMB:,AMB: Samuel W. Lewis,AMB, Samuel W. Lewis,,Samuel,W.,Lewis,,Samuel,Samuel Lewis
ADM:,ADM:,ADM: Duane T. Linville,ADM, Duane T. Linville,,Duane,T.,Linville,,Duane,Duane Linville
DCM.,DCM.,DCM. William A. Brown,DCM, William A. Brown,,William,A.,Brown,,William,William Brown
RSO:,RSO:,RSO: Gerald Kilgore,RSO, Gerald Kilgore,,Gerald,,Kilgore,,Gerald,Gerald Kilgore
