text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
CONSUL GENERAL: Edward A. Bolster,CONSUL GENERAL: Edward A. Bolster,CONSUL GENERAL: Edward A. Bolster,CONSUL GENERAL, Edward A. Bolster,,Edward,A.,Bolster,,Edward,Edward Bolster
COMMERCIAL SECTION: Robert A. Thayer,COMMERCIAL SECTION: Robert A. Thayer,COMMERCIAL SECTION: Robert A. Thayer,COMMERCIAL SECTION, Robert A. Thayer,,Robert,A.,Thayer,,Robert,Robert Thayer
AMBASSADOR: James W. Riddleberger,AMBASSADOR: James W. Riddleberger,AMBASSADOR: James W. Riddleberger,AMBASSADOR, James W. Riddleberger,,James,W.,Riddleberger,,James,James Riddleberger
DEPUTY CHIEF OF MISSION: Robert M. Brandin,DEPUTY CHIEF OF MISSION: Robert M. Brandin,DEPUTY CHIEF OF MISSION: Robert M. Brandin,DEPUTY CHIEF OF MISSION, Robert M. Brandin,,Robert,M.,Brandin,,Robert,Robert Brandin
ECONOMIC SECTION: Clinton L. Olson,ECONOMIC SECTION: Clinton L. Olson,ECONOMIC SECTION: Clinton L. Olson,ECONOMIC SECTION, Clinton L. Olson,,Clinton,L.,Olson,,Clinton,Clinton Olson
COMMERCIAL SECTION: Henry W. Prentice,COMMERCIAL SECTION: Henry W. Prentice,COMMERCIAL SECTION: Henry W. Prentice,COMMERCIAL SECTION, Henry W. Prentice,,Henry,W.,Prentice,,Henry,Henry Prentice
CONSULATE GENERAL: Nassau,CONSULATE GENERAL: Nassau,CONSULATE GENERAL: Nassau,CONSULATE GENERAL, Nassau,,Nassau,,,,Nassau,Nassau 
CONSUL GENERAL: J. Lawrence Barnard,CONSUL GENERAL: J. Lawrence Barnard,CONSUL GENERAL: J. Lawrence Barnard,CONSUL GENERAL, J. Lawrence Barnard,,J.,Lawrence,Barnard,,Lawrence,Lawrence Barnard
AMBASSADOR: Douglas MacArthur II,AMBASSADOR: Douglas MacArthur II,AMBASSADOR: Douglas MacArthur II,AMBASSADOR, Douglas MacArthur II,,Douglas,,MacArthur,II,Douglas,Douglas MacArthur
DEPUTY CHIEF OF MISSION: John M. McSweeney,DEPUTY CHIEF OF MISSION: John M. McSweeney,DEPUTY CHIEF OF MISSION: John M. McSweeney,DEPUTY CHIEF OF MISSION, John M. McSweeney,,John,M.,McSweeney,,John,John McSweeney
POLITICAL SECTION: Robert M. Beaudry,POLITICAL SECTION: Robert M. Beaudry,POLITICAL SECTION: Robert M. Beaudry,POLITICAL SECTION, Robert M. Beaudry,,Robert,M.,Beaudry,,Robert,Robert Beaudry
ECONOMIC SECTION: Chris G. Petrow,ECONOMIC SECTION: Chris G. Petrow,ECONOMIC SECTION: Chris G. Petrow,ECONOMIC SECTION, Chris G. Petrow,,Chris,G.,Petrow,,Chris,Chris Petrow
COMMERCIAL SECTION: E. Paul Hawk,COMMERCIAL SECTION: E. Paul Hawk,COMMERCIAL SECTION: E. Paul Hawk,COMMERCIAL SECTION, E. Paul Hawk,,E.,Paul,Hawk,,Paul,Paul Hawk
AGRICULTURAL ATTACHE: Clayton E. Whipple,AGRICULTURAL ATTACHE: Clayton E. Whipple,AGRICULTURAL ATTACHE: Clayton E. Whipple,AGRICULTURAL ATTACHE, Clayton E. Whipple,,Clayton,E.,Whipple,,Clayton,Clayton Whipple
CONSULATE GENERAL: Antwerp,CONSULATE GENERAL: Antwerp,CONSULATE GENERAL: Antwerp,CONSULATE GENERAL, Antwerp,,Antwerp,,,,Antwerp,Antwerp 
CONSUL GENERAL: Arthur A. Compton,CONSUL GENERAL: Arthur A. Compton,CONSUL GENERAL: Arthur A. Compton,CONSUL GENERAL, Arthur A. Compton,,Arthur,A.,Compton,,Arthur,Arthur Compton
ECONOMIC SECTION: Charles T. Skow,ECONOMIC SECTION: Charles T. Skow,ECONOMIC SECTION: Charles T. Skow,ECONOMIC SECTION, Charles T. Skow,,Charles,T.,Skow,,Charles,Charles Skow
COMMERCIAL SECTION: Leslie A. Klieforth,COMMERCIAL SECTION: Leslie A. Klieforth,COMMERCIAL SECTION: Leslie A. Klieforth,COMMERCIAL SECTION, Leslie A. Klieforth,,Leslie,A.,Klieforth,,Leslie,Leslie Klieforth
CONSULATE GENERAL: Hamilton,CONSULATE GENERAL: Hamilton,CONSULATE GENERAL: Hamilton,CONSULATE GENERAL, Hamilton,,Hamilton,,,,Hamilton,Hamilton 
CONSUL GENERAL: George W. Renchard,CONSUL GENERAL: George W. Renchard,CONSUL GENERAL: George W. Renchard,CONSUL GENERAL, George W. Renchard,,George,W.,Renchard,,George,George Renchard
"ECONOMIC SECTION: Samuel M. Janney, Jr.","ECONOMIC SECTION: Samuel M. Janney, Jr.","ECONOMIC SECTION: Samuel M. Janney, Jr.",ECONOMIC SECTION," Samuel M. Janney, Jr.",,Samuel,M.,Janney,Jr.,Samuel,Samuel Janney
AMBASSADOR: Douglas Henderson,AMBASSADOR: Douglas Henderson,AMBASSADOR: Douglas Henderson,AMBASSADOR, Douglas Henderson,,Douglas,,Henderson,,Douglas,Douglas Henderson
