text,text_squish,text_joined,rank,name,title,first,middle,last,suffix,first_clean,firstlast
POLITICAL SECTION: Robert A. Stevenson,POLITICAL SECTION: Robert A. Stevenson,POLITICAL SECTION: Robert A. Stevenson,POLITICAL SECTION, Robert A. Stevenson,,Robert,A.,Stevenson,,Robert,Robert Stevenson
ECONOMIC SECTION: Thomas R. Favell,ECONOMIC SECTION: Thomas R. Favell,ECONOMIC SECTION: Thomas R. Favell,ECONOMIC SECTION, Thomas R. Favell,,Thomas,R.,Favell,,Thomas,Thomas Favell
COMMERCIAL SECTION: Morris Allen,COMMERCIAL SECTION: Morris Allen,COMMERCIAL SECTION: Morris Allen,COMMERCIAL SECTION, Morris Allen,,Morris,,Allen,,Morris,Morris Allen
AID MISSION DIRECTOR: John P. Robinson,AID MISSION DIRECTOR: John P. Robinson,AID MISSION DIRECTOR: John P. Robinson,AID MISSION DIRECTOR, John P. Robinson,,John,P.,Robinson,,John,John Robinson
AMBASSADOR: Covey T. Oliver,AMBASSADOR: Covey T. Oliver,AMBASSADOR: Covey T. Oliver,AMBASSADOR, Covey T. Oliver,,Covey,T.,Oliver,,Covey,Covey Oliver
DEPUTY CHIEF OF MISSION: Henry Dearborn,DEPUTY CHIEF OF MISSION: Henry Dearborn,DEPUTY CHIEF OF MISSION: Henry Dearborn,DEPUTY CHIEF OF MISSION, Henry Dearborn,,Henry,,Dearborn,,Henry,Henry Dearborn
POLITICAL SECTION: Stephen A. Comiskey,POLITICAL SECTION: Stephen A. Comiskey,POLITICAL SECTION: Stephen A. Comiskey,POLITICAL SECTION, Stephen A. Comiskey,,Stephen,A.,Comiskey,,Stephen,Stephen Comiskey
ECONOMIC SECTION: Samuel D. Eaton,ECONOMIC SECTION: Samuel D. Eaton,ECONOMIC SECTION: Samuel D. Eaton,ECONOMIC SECTION, Samuel D. Eaton,,Samuel,D.,Eaton,,Samuel,Samuel Eaton
COMMERCIAL SECTION: George A. Ellsworth,COMMERCIAL SECTION: George A. Ellsworth,COMMERCIAL SECTION: George A. Ellsworth,COMMERCIAL SECTION, George A. Ellsworth,,George,A.,Ellsworth,,George,George Ellsworth
AGRICULTURAL ATTACHE: Robert E. Adcock,AGRICULTURAL ATTACHE: Robert E. Adcock,AGRICULTURAL ATTACHE: Robert E. Adcock,AGRICULTURAL ATTACHE, Robert E. Adcock,,Robert,E.,Adcock,,Robert,Robert Adcock
AID MISSION DIRECTOR: James R. Fowler,AID MISSION DIRECTOR: James R. Fowler,AID MISSION DIRECTOR: James R. Fowler,AID MISSION DIRECTOR, James R. Fowler,,James,R.,Fowler,,James,James Fowler
AMBASSADOR: Henry L. T. Koren,AMBASSADOR: Henry L. T. Koren,AMBASSADOR: Henry L. T. Koren,AMBASSADOR, Henry L. T. Koren,,Henry,L. T.,Koren,,Henry,Henry Koren
DEPUTY CHIEF OF MISSION: Lloyd M. Rives,DEPUTY CHIEF OF MISSION: Lloyd M. Rives,DEPUTY CHIEF OF MISSION: Lloyd M. Rives,DEPUTY CHIEF OF MISSION, Lloyd M. Rives,,Lloyd,M.,Rives,,Lloyd,Lloyd Rives
POLITICAL SECTION: David A. McDonough,POLITICAL SECTION: David A. McDonough,POLITICAL SECTION: David A. McDonough,POLITICAL SECTION, David A. McDonough,,David,A.,McDonough,,David,David McDonough
ECONOMIC SECTION: Charles E. Rushing,ECONOMIC SECTION: Charles E. Rushing,ECONOMIC SECTION: Charles E. Rushing,ECONOMIC SECTION, Charles E. Rushing,,Charles,E.,Rushing,,Charles,Charles Rushing
AMBASSADOR: G. McMurtrie Godley,AMBASSADOR: G. McMurtrie Godley,AMBASSADOR: G. McMurtrie Godley,AMBASSADOR, G. McMurtrie Godley,,G.,McMurtrie,Godley,,McMurtrie,McMurtrie Godley
DEPUTY CHIEF OF MISSION: Robert 0. Blake,DEPUTY CHIEF OF MISSION: Robert 0. Blake,DEPUTY CHIEF OF MISSION: Robert 0. Blake,DEPUTY CHIEF OF MISSION, Robert 0. Blake,,Robert,0.,Blake,,Robert,Robert Blake
POLITICAL SECTION: Monteagle Stearns,POLITICAL SECTION: Monteagle Stearns,POLITICAL SECTION: Monteagle Stearns,POLITICAL SECTION, Monteagle Stearns,,Monteagle,,Stearns,,Monteagle,Monteagle Stearns
ECONOMIC SECTION: Stuart T. Baron,ECONOMIC SECTION: Stuart T. Baron,ECONOMIC SECTION: Stuart T. Baron,ECONOMIC SECTION, Stuart T. Baron,,Stuart,T.,Baron,,Stuart,Stuart Baron
COMMERCIAL SECTION: Martin Jacobs,COMMERCIAL SECTION: Martin Jacobs,COMMERCIAL SECTION: Martin Jacobs,COMMERCIAL SECTION, Martin Jacobs,,Martin,,Jacobs,,Martin,Martin Jacobs
AGRICULTURAL ATTACHE: Paul J. Ferree,AGRICULTURAL ATTACHE: Paul J. Ferree,AGRICULTURAL ATTACHE: Paul J. Ferree,AGRICULTURAL ATTACHE, Paul J. Ferree,,Paul,J.,Ferree,,Paul,Paul Ferree
DEPUTY CHIEF OF MISSION: Philip Raine,DEPUTY CHIEF OF MISSION: Philip Raine,DEPUTY CHIEF OF MISSION: Philip Raine,DEPUTY CHIEF OF MISSION, Philip Raine,,Philip,,Raine,,Philip,Philip Raine
POLITICAL SECTION: Cabot Sedgwick,POLITICAL SECTION: Cabot Sedgwick,POLITICAL SECTION: Cabot Sedgwick,POLITICAL SECTION, Cabot Sedgwick,,Cabot,,Sedgwick,,Cabot,Cabot Sedgwick
"ECONOMIC SECTION: Melville E. Blake, Jr.","ECONOMIC SECTION: Melville E. Blake, Jr.","ECONOMIC SECTION: Melville E. Blake, Jr.",ECONOMIC SECTION," Melville E. Blake, Jr.",,Melville,E.,Blake,Jr.,Melville,Melville Blake
"COMMERCIAL SECTION: James Maish, Jr.","COMMERCIAL SECTION: James Maish, Jr.","COMMERCIAL SECTION: James Maish, Jr.",COMMERCIAL SECTION," James Maish, Jr.",,James,,Maish,Jr.,James,James Maish
AGRICULTURAL ATTACHE: Marshal D. Fox,AGRICULTURAL ATTACHE: Marshal D. Fox,AGRICULTURAL ATTACHE: Marshal D. Fox,AGRICULTURAL ATTACHE, Marshal D. Fox,,Marshal,D.,Fox,,Marshal,Marshal Fox
AID MISSION DIRECTOR: Albert E. Farwell,AID MISSION DIRECTOR: Albert E. Farwell,AID MISSION DIRECTOR: Albert E. Farwell,AID MISSION DIRECTOR, Albert E. Farwell,,Albert,E.,Farwell,,Albert,Albert Farwell
AMBASSADOR: Taylor G. Belcher,AMBASSADOR: Taylor G. Belcher,AMBASSADOR: Taylor G. Belcher,AMBASSADOR, Taylor G. Belcher,,Taylor,G.,Belcher,,Taylor,Taylor Belcher
DEPUTY CHIEF OFMISSION:    Charles T. Cross,DEPUTY CHIEF OFMISSION:    Charles T. Cross,DEPUTY CHIEF OFMISSION:    Charles T. Cross,DEPUTY CHIEF OFMISSION,    Charles T. Cross,,Charles,T.,Cross,,Charles,Charles Cross
POLITICAL SECTION: Robert R. Schott,POLITICAL SECTION: Robert R. Schott,POLITICAL SECTION: Robert R. Schott,POLITICAL SECTION, Robert R. Schott,,Robert,R.,Schott,,Robert,Robert Schott
"ECONOMIC SECTION: Barrington King, Jr.","ECONOMIC SECTION: Barrington King, Jr.","ECONOMIC SECTION: Barrington King, Jr.",ECONOMIC SECTION," Barrington King, Jr.",,Barrington,,King,Jr.,Barrington,Barrington King
AID REPRESENTATIVE: Frederick H. Sligh,AID REPRESENTATIVE: Frederick H. Sligh,AID REPRESENTATIVE: Frederick H. Sligh,AID REPRESENTATIVE, Frederick H. Sligh,,Frederick,H.,Sligh,,Frederick,Frederick Sligh
AMBASSADOR: Outerbridge Horsey,AMBASSADOR: Outerbridge Horsey,AMBASSADOR: Outerbridge Horsey,AMBASSADOR, Outerbridge Horsey,,Outerbridge,,Horsey,,Outerbridge,Outerbridge Horsey
DEPUTY CHIEF OF MISSION: Byron E. Blankinship,DEPUTY CHIEF OF MISSION: Byron E. Blankinship,DEPUTY CHIEF OF MISSION: Byron E. Blankinship,DEPUTY CHIEF OF MISSION, Byron E. Blankinship,,Byron,E.,Blankinship,,Byron,Byron Blankinship
POLITICAL SECTION: Edward W. Burgess,POLITICAL SECTION: Edward W. Burgess,POLITICAL SECTION: Edward W. Burgess,POLITICAL SECTION, Edward W. Burgess,,Edward,W.,Burgess,,Edward,Edward Burgess
ECONOMIC SECTION: Warren E. Slater,ECONOMIC SECTION: Warren E. Slater,ECONOMIC SECTION: Warren E. Slater,ECONOMIC SECTION, Warren E. Slater,,Warren,E.,Slater,,Warren,Warren Slater
AMBASSADOR: Clinton E. Knox,AMBASSADOR: Clinton E. Knox,AMBASSADOR: Clinton E. Knox,AMBASSADOR, Clinton E. Knox,,Clinton,E.,Knox,,Clinton,Clinton Knox
"DEPUTY CHIEF OF MISSION: Harland H. Eastman,","DEPUTY CHIEF OF MISSION: Harland H. Eastman,","DEPUTY CHIEF OF MISSION: Harland H. Eastman,",DEPUTY CHIEF OF MISSION," Harland H. Eastman,",,Harland,H.,Eastman,,Harland,Harland Eastman
AMBASSADOR: Mrs. Katharine E. White,AMBASSADOR: Mrs. Katharine E. White,AMBASSADOR: Mrs. Katharine E. White,AMBASSADOR, Mrs. Katharine E. White,Mrs.,Katharine,E.,White,,Katharine,Katharine White
DEPUTY CHIEF OF MISSION: Stanley S. Carpenter,DEPUTY CHIEF OF MISSION: Stanley S. Carpenter,DEPUTY CHIEF OF MISSION: Stanley S. Carpenter,DEPUTY CHIEF OF MISSION, Stanley S. Carpenter,,Stanley,S.,Carpenter,,Stanley,Stanley Carpenter
POLITICAL SECTION: Eiler R. Cook,POLITICAL SECTION: Eiler R. Cook,POLITICAL SECTION: Eiler R. Cook,POLITICAL SECTION, Eiler R. Cook,,Eiler,R.,Cook,,Eiler,Eiler Cook
ECONOMIC SECTION: Roger C. Dixon,ECONOMIC SECTION: Roger C. Dixon,ECONOMIC SECTION: Roger C. Dixon,ECONOMIC SECTION, Roger C. Dixon,,Roger,C.,Dixon,,Roger,Roger Dixon
COMMERCIAL SECTION: Marion E. Anderson,COMMERCIAL SECTION: Marion E. Anderson,COMMERCIAL SECTION: Marion E. Anderson,COMMERCIAL SECTION, Marion E. Anderson,,Marion,E.,Anderson,,Marion,Marion Anderson
AGRICULTURAL ATTACHE: Harold L. Koeller,AGRICULTURAL ATTACHE: Harold L. Koeller,AGRICULTURAL ATTACHE: Harold L. Koeller,AGRICULTURAL ATTACHE, Harold L. Koeller,,Harold,L.,Koeller,,Harold,Harold Koeller
"AMBASSADOR: W. Tapley Bennett, Jr.","AMBASSADOR: W. Tapley Bennett, Jr.","AMBASSADOR: W. Tapley Bennett, Jr.",AMBASSADOR," W. Tapley Bennett, Jr.",,W.,Tapley,Bennett,Jr.,Tapley,Tapley Bennett
"DEPUTY CHIEF OF MISSION: William B. Connett, Jr.","DEPUTY CHIEF OF MISSION: William B. Connett, Jr.","DEPUTY CHIEF OF MISSION: William B. Connett, Jr.",DEPUTY CHIEF OF MISSION," William B. Connett, Jr.",,William,B.,Connett,Jr.,William,William Connett
POLITICAL SECTION: Benjamin J. Ruyle,POLITICAL SECTION: Benjamin J. Ruyle,POLITICAL SECTION: Benjamin J. Ruyle,POLITICAL SECTION, Benjamin J. Ruyle,,Benjamin,J.,Ruyle,,Benjamin,Benjamin Ruyle
ECONOMIC SECTION: Dorothy M. Jester,ECONOMIC SECTION: Dorothy M. Jester,ECONOMIC SECTION: Dorothy M. Jester,ECONOMIC SECTION, Dorothy M. Jester,,Dorothy,M.,Jester,,Dorothy,Dorothy Jester
"COMMERCIAL SECTION: John B. Perkey, Jr.","COMMERCIAL SECTION: John B. Perkey, Jr.","COMMERCIAL SECTION: John B. Perkey, Jr.",COMMERCIAL SECTION," John B. Perkey, Jr.",,John,B.,Perkey,Jr.,John,John Perkey
AID MISSION DIRECTOR: W. Carter Ide,AID MISSION DIRECTOR: W. Carter Ide,AID MISSION DIRECTOR: W. Carter Ide,AID MISSION DIRECTOR, W. Carter Ide,,W.,Carter,Ide,,Carter,Carter Ide
AMBASSADOR: Maurice M. Bernbaum,AMBASSADOR: Maurice M. Bernbaum,AMBASSADOR: Maurice M. Bernbaum,AMBASSADOR, Maurice M. Bernbaum,,Maurice,M.,Bernbaum,,Maurice,Maurice Bernbaum
DEPUTY CHIEF OF MISSION: Samuel O. Lane,DEPUTY CHIEF OF MISSION: Samuel O. Lane,DEPUTY CHIEF OF MISSION: Samuel O. Lane,DEPUTY CHIEF OF MISSION, Samuel O. Lane,,Samuel,O.,Lane,,Samuel,Samuel Lane
POLITICAL SECTION: Earl H. Lubensky,POLITICAL SECTION: Earl H. Lubensky,POLITICAL SECTION: Earl H. Lubensky,POLITICAL SECTION, Earl H. Lubensky,,Earl,H.,Lubensky,,Earl,Earl Lubensky
ECONOMIC SECTION: Thomas K. Shields,ECONOMIC SECTION: Thomas K. Shields,ECONOMIC SECTION: Thomas K. Shields,ECONOMIC SECTION, Thomas K. Shields,,Thomas,K.,Shields,,Thomas,Thomas Shields
"COMMERCIAL SECTION: Madison M. Adams, Jr.","COMMERCIAL SECTION: Madison M. Adams, Jr.","COMMERCIAL SECTION: Madison M. Adams, Jr.",COMMERCIAL SECTION," Madison M. Adams, Jr.",,Madison,M.,Adams,Jr.,Madison,Madison Adams
AGRICULTURAL ATTACHE: Carlos J. Ortega,AGRICULTURAL ATTACHE: Carlos J. Ortega,AGRICULTURAL ATTACHE: Carlos J. Ortega,AGRICULTURAL ATTACHE, Carlos J. Ortega,,Carlos,J.,Ortega,,Carlos,Carlos Ortega
AID MISSION DIRECTOR: Donald L. Daughters,AID MISSION DIRECTOR: Donald L. Daughters,AID MISSION DIRECTOR: Donald L. Daughters,AID MISSION DIRECTOR, Donald L. Daughters,,Donald,L.,Daughters,,Donald,Donald Daughters
CONSULATE GENERAL: Guayaquil,CONSULATE GENERAL: Guayaquil,CONSULATE GENERAL: Guayaquil,CONSULATE GENERAL, Guayaquil,,Guayaquil,,,,Guayaquil,Guayaquil 
CONSUL GENERAL: Alton W. Hemba,CONSUL GENERAL: Alton W. Hemba,CONSUL GENERAL: Alton W. Hemba,CONSUL GENERAL, Alton W. Hemba,,Alton,W.,Hemba,,Alton,Alton Hemba
"COMMERCIAL SECTION: Howland Bancroft, Jr.","COMMERCIAL SECTION: Howland Bancroft, Jr.","COMMERCIAL SECTION: Howland Bancroft, Jr.",COMMERCIAL SECTION," Howland Bancroft, Jr.",,Howland,,Bancroft,Jr.,Howland,Howland Bancroft
AMBASSADOR: Raul H. Castro,AMBASSADOR: Raul H. Castro,AMBASSADOR: Raul H. Castro,AMBASSADOR, Raul H. Castro,,Raul,H.,Castro,,Raul,Raul Castro
DEPUTY CHIEF OF MISSION: Leonard J. Saccio,DEPUTY CHIEF OF MISSION: Leonard J. Saccio,DEPUTY CHIEF OF MISSION: Leonard J. Saccio,DEPUTY CHIEF OF MISSION, Leonard J. Saccio,,Leonard,J.,Saccio,,Leonard,Leonard Saccio
POLITICAL SECTION: Robert M. Phillips,POLITICAL SECTION: Robert M. Phillips,POLITICAL SECTION: Robert M. Phillips,POLITICAL SECTION, Robert M. Phillips,,Robert,M.,Phillips,,Robert,Robert Phillips
COMMERCIAL SECTION: Melville A. Shaw,COMMERCIAL SECTION: Melville A. Shaw,COMMERCIAL SECTION: Melville A. Shaw,COMMERCIAL SECTION, Melville A. Shaw,,Melville,A.,Shaw,,Melville,Melville Shaw
AGRICULTURAL ATTACHE: Alvin E. Gilbert,AGRICULTURAL ATTACHE: Alvin E. Gilbert,AGRICULTURAL ATTACHE: Alvin E. Gilbert,AGRICULTURAL ATTACHE, Alvin E. Gilbert,,Alvin,E.,Gilbert,,Alvin,Alvin Gilbert
AID MISSION DIRECTOR: Robert W. Herder,AID MISSION DIRECTOR: Robert W. Herder,AID MISSION DIRECTOR: Robert W. Herder,AID MISSION DIRECTOR, Robert W. Herder,,Robert,W.,Herder,,Robert,Robert Herder
AMBASSADOR: Edward M. Korry,AMBASSADOR: Edward M. Korry,AMBASSADOR: Edward M. Korry,AMBASSADOR, Edward M. Korry,,Edward,M.,Korry,,Edward,Edward Korry
DEPUTY CHIEF OF MISSION: Sheldon B. Vance,DEPUTY CHIEF OF MISSION: Sheldon B. Vance,DEPUTY CHIEF OF MISSION: Sheldon B. Vance,DEPUTY CHIEF OF MISSION, Sheldon B. Vance,,Sheldon,B.,Vance,,Sheldon,Sheldon Vance
POLITICAL SECTION: Robert H. Wenzel,POLITICAL SECTION: Robert H. Wenzel,POLITICAL SECTION: Robert H. Wenzel,POLITICAL SECTION, Robert H. Wenzel,,Robert,H.,Wenzel,,Robert,Robert Wenzel
ECONOMIC SECTION: Donald L. Woolf,ECONOMIC SECTION: Donald L. Woolf,ECONOMIC SECTION: Donald L. Woolf,ECONOMIC SECTION, Donald L. Woolf,,Donald,L.,Woolf,,Donald,Donald Woolf
AID MISSION DIRECTOR: Willard H. Meinedce,AID MISSION DIRECTOR: Willard H. Meinedce,AID MISSION DIRECTOR: Willard H. Meinedce,AID MISSION DIRECTOR, Willard H. Meinedce,,Willard,H.,Meinedce,,Willard,Willard Meinedce
AMBASSADOR: Tyler Thompson,AMBASSADOR: Tyler Thompson,AMBASSADOR: Tyler Thompson,AMBASSADOR, Tyler Thompson,,Tyler,,Thompson,,Tyler,Tyler Thompson
DEPUTY CHIEF OF MISSION: George M. Ingram,DEPUTY CHIEF OF MISSION: George M. Ingram,DEPUTY CHIEF OF MISSION: George M. Ingram,DEPUTY CHIEF OF MISSION, George M. Ingram,,George,M.,Ingram,,George,George Ingram
POLITICAL SECTION: Eric W. Fleisher,POLITICAL SECTION: Eric W. Fleisher,POLITICAL SECTION: Eric W. Fleisher,POLITICAL SECTION, Eric W. Fleisher,,Eric,W.,Fleisher,,Eric,Eric Fleisher
ECONOMIC SECTION: John Q. Blodgett,ECONOMIC SECTION: John Q. Blodgett,ECONOMIC SECTION: John Q. Blodgett,ECONOMIC SECTION, John Q. Blodgett,,John,Q.,Blodgett,,John,John Blodgett
COMMERCIAL SECTION: Stephen Duncan-Peters,COMMERCIAL SECTION: Stephen Duncan-Peters,COMMERCIAL SECTION: Stephen Duncan-Peters,COMMERCIAL SECTION, Stephen Duncan-Peters,,Stephen,,Duncan-Peters,,Stephen,Stephen Duncan-Peters
AMBASSADOR: Charles E. Bohlen,AMBASSADOR: Charles E. Bohlen,AMBASSADOR: Charles E. Bohlen,AMBASSADOR, Charles E. Bohlen,,Charles,E.,Bohlen,,Charles,Charles Bohlen
DEPUTY CHIEF OF MISSION: Robert H. McBride,DEPUTY CHIEF OF MISSION: Robert H. McBride,DEPUTY CHIEF OF MISSION: Robert H. McBride,DEPUTY CHIEF OF MISSION, Robert H. McBride,,Robert,H.,McBride,,Robert,Robert McBride
POLITICAL SECTION: John A. Bovey,POLITICAL SECTION: John A. Bovey,POLITICAL SECTION: John A. Bovey,POLITICAL SECTION, John A. Bovey,,John,A.,Bovey,,John,John Bovey
ECONOMIC SECTION: Stanley M. Cleveland,ECONOMIC SECTION: Stanley M. Cleveland,ECONOMIC SECTION: Stanley M. Cleveland,ECONOMIC SECTION, Stanley M. Cleveland,,Stanley,M.,Cleveland,,Stanley,Stanley Cleveland
"COMMERCIAL SECTION: Thomas E. Drumm, Jr.","COMMERCIAL SECTION: Thomas E. Drumm, Jr.","COMMERCIAL SECTION: Thomas E. Drumm, Jr.",COMMERCIAL SECTION," Thomas E. Drumm, Jr.",,Thomas,E.,Drumm,Jr.,Thomas,Thomas Drumm
AGRICULTURAL ATTACHE: Paul E. Quintus,AGRICULTURAL ATTACHE: Paul E. Quintus,AGRICULTURAL ATTACHE: Paul E. Quintus,AGRICULTURAL ATTACHE, Paul E. Quintus,,Paul,E.,Quintus,,Paul,Paul Quintus
CONSULATE GENERAL: Marseille,CONSULATE GENERAL: Marseille,CONSULATE GENERAL: Marseille,CONSULATE GENERAL, Marseille,,Marseille,,,,Marseille,Marseille 
CONSUL GENERAL: Daniel V. Anderson,CONSUL GENERAL: Daniel V. Anderson,CONSUL GENERAL: Daniel V. Anderson,CONSUL GENERAL, Daniel V. Anderson,,Daniel,V.,Anderson,,Daniel,Daniel Anderson
AMBASSADOR: Charles F. Darlington,AMBASSADOR: Charles F. Darlington,AMBASSADOR: Charles F. Darlington,AMBASSADOR, Charles F. Darlington,,Charles,F.,Darlington,,Charles,Charles Darlington
DEPUTY CHIEF OF MISSION: William F. Courtney,DEPUTY CHIEF OF MISSION: William F. Courtney,DEPUTY CHIEF OF MISSION: William F. Courtney,DEPUTY CHIEF OF MISSION, William F. Courtney,,William,F.,Courtney,,William,William Courtney
AMBASSADOR: George C. McGhee,AMBASSADOR: George C. McGhee,AMBASSADOR: George C. McGhee,AMBASSADOR, George C. McGhee,,George,C.,McGhee,,George,George McGhee
DEPUTY CHIEF OF MISSION: Martin J. Hillenbrand,DEPUTY CHIEF OF MISSION: Martin J. Hillenbrand,DEPUTY CHIEF OF MISSION: Martin J. Hillenbrand,DEPUTY CHIEF OF MISSION, Martin J. Hillenbrand,,Martin,J.,Hillenbrand,,Martin,Martin Hillenbrand
POLITICAL SECTION: Coburn B. Kidd,POLITICAL SECTION: Coburn B. Kidd,POLITICAL SECTION: Coburn B. Kidd,POLITICAL SECTION, Coburn B. Kidd,,Coburn,B.,Kidd,,Coburn,Coburn Kidd
ECONOMIC SECTION: Edwin M. Cronk,ECONOMIC SECTION: Edwin M. Cronk,ECONOMIC SECTION: Edwin M. Cronk,ECONOMIC SECTION, Edwin M. Cronk,,Edwin,M.,Cronk,,Edwin,Edwin Cronk
COMMERCIAL SECTION: Paul H. Brent,COMMERCIAL SECTION: Paul H. Brent,COMMERCIAL SECTION: Paul H. Brent,COMMERCIAL SECTION, Paul H. Brent,,Paul,H.,Brent,,Paul,Paul Brent
AGRICULTURAL ATTACHE: Paul G. Minneman,AGRICULTURAL ATTACHE: Paul G. Minneman,AGRICULTURAL ATTACHE: Paul G. Minneman,AGRICULTURAL ATTACHE, Paul G. Minneman,,Paul,G.,Minneman,,Paul,Paul Minneman
MISSION: Berlin,MISSION: Berlin,MISSION: Berlin,MISSION, Berlin,,Berlin,,,,Berlin,Berlin 
AND ASSISTANT CHIEF OF MISSION: John A.,AND ASSISTANT CHIEF OF MISSION: John A.,AND ASSISTANT CHIEF OF MISSION: John A. Calhoun,AND ASSISTANT CHIEF OF MISSION, John A. Calhoun,,John,A.,Calhoun,,John,John Calhoun
DEPUTY TO ASSISTANT CHIEF OF MISSION:,DEPUTY TO ASSISTANT CHIEF OF MISSION:,"DEPUTY TO ASSISTANT CHIEF OF MISSION: Charles E. Hulick, Jr.",DEPUTY TO ASSISTANT CHIEF OF MISSION," Charles E. Hulick, Jr.",,Charles,E.,Hulick,Jr.,Charles,Charles Hulick
POLITICAL SECTION: Arthur R. Day,POLITICAL SECTION: Arthur R. Day,POLITICAL SECTION: Arthur R. Day,POLITICAL SECTION, Arthur R. Day,,Arthur,R.,Day,,Arthur,Arthur Day
ECONOMIC SECTION: Parker D. Wyman,ECONOMIC SECTION: Parker D. Wyman,ECONOMIC SECTION: Parker D. Wyman,ECONOMIC SECTION, Parker D. Wyman,,Parker,D.,Wyman,,Parker,Parker Wyman
CONSULATE GENERAL: Bremen,CONSULATE GENERAL: Bremen,CONSULATE GENERAL: Bremen,CONSULATE GENERAL, Bremen,,Bremen,,,,Bremen,Bremen 
CONSUL GENERAL: Leo M. Goodman,CONSUL GENERAL: Leo M. Goodman,CONSUL GENERAL: Leo M. Goodman,CONSUL GENERAL, Leo M. Goodman,,Leo,M.,Goodman,,Leo,Leo Goodman
ECONOMIC SECTION: Brynhild C. Rowberg,ECONOMIC SECTION: Brynhild C. Rowberg,ECONOMIC SECTION: Brynhild C. Rowberg,ECONOMIC SECTION, Brynhild C. Rowberg,,Brynhild,C.,Rowberg,,Brynhild,Brynhild Rowberg
CONSULATE GENERAL: Duesseldorf,CONSULATE GENERAL: Duesseldorf,CONSULATE GENERAL: Duesseldorf,CONSULATE GENERAL, Duesseldorf,,Duesseldorf,,,,Duesseldorf,Duesseldorf 
CONSUL GENERAL: Edmund H. Kellogg,CONSUL GENERAL: Edmund H. Kellogg,CONSUL GENERAL: Edmund H. Kellogg,CONSUL GENERAL, Edmund H. Kellogg,,Edmund,H.,Kellogg,,Edmund,Edmund Kellogg
COMMERCIAL SECTION: Emst A. Van Es,COMMERCIAL SECTION: Emst A. Van Es,COMMERCIAL SECTION: Emst A. Van Es,COMMERCIAL SECTION, Emst A. Van Es,,Emst,A.,Van Es,,Emst,Emst Van Es
CONSULATE GENERAL: Frankfurt am Main,CONSULATE GENERAL: Frankfurt am Main,CONSULATE GENERAL: Frankfurt am Main,CONSULATE GENERAL, Frankfurt am Main,,Frankfurt,am,Main,,Frankfurt,Frankfurt Main
CONSUL GENERAL: Henry H. Ford,CONSUL GENERAL: Henry H. Ford,CONSUL GENERAL: Henry H. Ford,CONSUL GENERAL, Henry H. Ford,,Henry,H.,Ford,,Henry,Henry Ford
DEPUTY PRINCIPAL OFFICER: Everett K. Melby,DEPUTY PRINCIPAL OFFICER: Everett K. Melby,DEPUTY PRINCIPAL OFFICER: Everett K. Melby,DEPUTY PRINCIPAL OFFICER, Everett K. Melby,,Everett,K.,Melby,,Everett,Everett Melby
ECONOMIC SECTION: Anthony Radspieler,ECONOMIC SECTION: Anthony Radspieler,ECONOMIC SECTION: Anthony Radspieler,ECONOMIC SECTION, Anthony Radspieler,,Anthony,,Radspieler,,Anthony,Anthony Radspieler
COMMERCIAL SECTION: Edmund F. Becker,COMMERCIAL SECTION: Edmund F. Becker,COMMERCIAL SECTION: Edmund F. Becker,COMMERCIAL SECTION, Edmund F. Becker,,Edmund,F.,Becker,,Edmund,Edmund Becker
CONSULATE GENERAL: Hamburg,CONSULATE GENERAL: Hamburg,CONSULATE GENERAL: Hamburg,CONSULATE GENERAL, Hamburg,,Hamburg,,,,Hamburg,Hamburg 
CONSUL GENERAL: E. Tomlin Bailey,CONSUL GENERAL: E. Tomlin Bailey,CONSUL GENERAL: E. Tomlin Bailey,CONSUL GENERAL, E. Tomlin Bailey,,E.,Tomlin,Bailey,,Tomlin,Tomlin Bailey
CONSULATE GENERAL: Munich,CONSULATE GENERAL: Munich,CONSULATE GENERAL: Munich,CONSULATE GENERAL, Munich,,Munich,,,,Munich,Munich 
CONSUL GENERAL: Paul B. Taylor,CONSUL GENERAL: Paul B. Taylor,CONSUL GENERAL: Paul B. Taylor,CONSUL GENERAL, Paul B. Taylor,,Paul,B.,Taylor,,Paul,Paul Taylor
DEPUTY PRINCIPAL OFFICER: Neil M. Ruge,DEPUTY PRINCIPAL OFFICER: Neil M. Ruge,DEPUTY PRINCIPAL OFFICER: Neil M. Ruge,DEPUTY PRINCIPAL OFFICER, Neil M. Ruge,,Neil,M.,Ruge,,Neil,Neil Ruge
ECONOMIC SECTION: Dwight M. Cramer,ECONOMIC SECTION: Dwight M. Cramer,ECONOMIC SECTION: Dwight M. Cramer,ECONOMIC SECTION, Dwight M. Cramer,,Dwight,M.,Cramer,,Dwight,Dwight Cramer
CONSULATE GENERAL: Stuttgart,CONSULATE GENERAL: Stuttgart,CONSULATE GENERAL: Stuttgart,CONSULATE GENERAL, Stuttgart,,Stuttgart,,,,Stuttgart,Stuttgart 
CONSUL GENERAL: Paul R. Sweet,CONSUL GENERAL: Paul R. Sweet,CONSUL GENERAL: Paul R. Sweet,CONSUL GENERAL, Paul R. Sweet,,Paul,R.,Sweet,,Paul,Paul Sweet
ECONOMIC SECTION: George F. Bogardus,ECONOMIC SECTION: George F. Bogardus,ECONOMIC SECTION: George F. Bogardus,ECONOMIC SECTION, George F. Bogardus,,George,F.,Bogardus,,George,George Bogardus
