year,rank,name,first_clean,middle,last,firstlast
1965,DEPUTY CHIEF OF MISSION, Richard E. Johnson,Richard,E.,Johnson,Richard Johnson
1965,POLITICAL SECTION, Timothy A. Pfeiffer,Timothy,A.,Pfeiffer,Timothy Pfeiffer
1965,ECONOMIC SECTION, Donald C. Tice,Donald,C.,Tice,Donald Tice
1965,AMBASSADOR, Henry A. Byroade,Henry,A.,Byroade,Henry Byroade
1965,POLITICAL SECTION, Kingdon W. Swayne,Kingdon,W.,Swayne,Kingdon Swayne
1965,ECONOMIC SECTION, Lubert O. Sanderhoff,Lubert,O.,Sanderhoff,Lubert Sanderhoff
1965,AMBASSADOR, Donald A. Dumont,Donald,A.,Dumont,Donald Dumont
1965,DEPUTY CHIEF OF MISSION, Thompson R. Buchanan,Thompson,R.,Buchanan,Thompson Buchanan
1965,POLITICAL SECTION," Martin J. Bergin, Jr.",Martin,J.,Bergin,Martin Bergin
1965,DEPUTY CHIEF OF MISSION, Charles K. Moffly,Charles,K.,Moffly,Charles Moffly
1965,POLITICAL SECTION, John P. Blane,John,P.,Blane,John Blane
1965,ECONOMIC SECTION, Lloyd L. Lee,Lloyd,L.,Lee,Lloyd Lee
1965,AMBASSADOR, W. Walton Butterworth,Walton,Walton,Butterworth,Walton Butterworth
1965,DEPUTY CHIEF OF MISSON, Joseph W. Scott,Joseph,W.,Scott,Joseph Scott
1965,POLITICAL SECTION," William M. Johnson, Jr.",William,M.,Johnson,William Johnson
1965,ECONOMIC SECTION, Francis A. Linville,Francis,A.,Linville,Francis Linville
1965,COMMERCIAL SECTION, Leonard H. Price,Leonard,H.,Price,Leonard Price
1965,AGRICULTURAL ATTACHE, John C. McDonald,John,C.,McDonald,John McDonald
1965,CONSULATE GENERAL," Calgary, Alberta",Alberta,,Calgary,Alberta Calgary
1965,CONSUL GENERAL, John L. Hagan,John,L.,Hagan,John Hagan
1965,CONSULATE GENERAL," Halifax, Nova Scotia",Nova,Scotia,Halifax,Nova Halifax
1965,CONSUL GENERAL, Robert S. Black,Robert,S.,Black,Robert Black
1965,CONSULATE GENERAL," Montreal, Quebec",Quebec,,Montreal,Quebec Montreal
1965,CONSUL GENERAL," Richard H. Hawkins, Jr.",Richard,H.,Hawkins,Richard Hawkins
1965,ECONOMIC SECTION, Frederick T. Rope,Frederick,T.,Rope,Frederick Rope
1965,CONSULATE GENERAL," Quebec, Quebec",Quebec,,Quebec,Quebec Quebec
1965,CONSUL GENERAL, Jerome T. Gaspard,Jerome,T.,Gaspard,Jerome Gaspard
1965,CONSULATE GENERAL," St. John's, Newfoundland",Newfoundland,,St. John's,Newfoundland St. John's
1965,CONSUL GENERAL, Homer W. Lanford,Homer,W.,Lanford,Homer Lanford
1965,CONSULATE GENERAL," Toronto, Ontario",Ontario,,Toronto,Ontario Toronto
1965,CONSUL GENERAL," W. Park Armstrong, Jr.",Park,Park,Armstrong,Park Armstrong
1965,ECONOMIC SECTION, William E. Price,William,E.,Price,William Price
1965,CONSULATE GENERAL," Vancouver, British Columbia",Columbia,,Vancouver,Columbia Vancouver
1965,CONSUL GENERAL, Avery F. Peterson,Avery,F.,Peterson,Avery Peterson
1965,ECONOMIC SECTION, Arne T. Fliflet,Arne,T.,Fliflet,Arne Fliflet
1965,CONSULATE GENERAL," Winnipeg, Manitoba",Manitoba,,Winnipeg,Manitoba Winnipeg
1965,CONSUL GENERAL, John H. Morris,John,H.,Morris,John Morris
1965,AMBASSADOR, Claude G. Ross,Claude,G.,Ross,Claude Ross
1965,DEPUTY CHIEF OF MISSION, Edward T. Brennan,Edward,T.,Brennan,Edward Brennan
1965,AMBASSADOR, Cecil B. Lyon,Cecil,B.,Lyon,Cecil Lyon
1965,DEPUTY CHIEF OF MISSION, LaRue R. Lutkins,LaRue,R.,Lutkins,LaRue Lutkins
1965,POLITICAL SECTION, David L. Gamon,David,L.,Gamon,David Gamon
1965,ECONOMIC SECTION, Michael Calingaert,Michael,,Calingaert,Michael Calingaert
1965,AMBASSADOR, Brewster H. Morris,Brewster,H.,Morris,Brewster Morris
1965,DEPUTY CHIEF OF MISSION, James F. Relph,James,F.,Relph,James Relph
1965,AMBASSADOR, Ralph A. Dungan,Ralph,A.,Dungan,Ralph Dungan
1965,DEPUTY CHIEF OF MISSION, Joseph J. Jova,Joseph,J.,Jova,Joseph Jova
1965,POLITICAL SECTION, Robert A. Stevenson,Robert,A.,Stevenson,Robert Stevenson
1965,ECONOMIC SECTION, Thomas R. Favell,Thomas,R.,Favell,Thomas Favell
1965,COMMERCIAL SECTION, Morris Allen,Morris,,Allen,Morris Allen
1965,AID MISSION DIRECTOR, John P. Robinson,John,P.,Robinson,John Robinson
1965,AMBASSADOR, Covey T. Oliver,Covey,T.,Oliver,Covey Oliver
1965,DEPUTY CHIEF OF MISSION, Henry Dearborn,Henry,,Dearborn,Henry Dearborn
1965,POLITICAL SECTION, Stephen A. Comiskey,Stephen,A.,Comiskey,Stephen Comiskey
1965,ECONOMIC SECTION, Samuel D. Eaton,Samuel,D.,Eaton,Samuel Eaton
1965,COMMERCIAL SECTION, George A. Ellsworth,George,A.,Ellsworth,George Ellsworth
1965,AGRICULTURAL ATTACHE, Robert E. Adcock,Robert,E.,Adcock,Robert Adcock
1965,AID MISSION DIRECTOR, James R. Fowler,James,R.,Fowler,James Fowler
1965,AMBASSADOR, Henry L. T. Koren,Henry,L. T.,Koren,Henry Koren
1965,DEPUTY CHIEF OF MISSION, Lloyd M. Rives,Lloyd,M.,Rives,Lloyd Rives
1965,POLITICAL SECTION, David A. McDonough,David,A.,McDonough,David McDonough
1965,ECONOMIC SECTION, Charles E. Rushing,Charles,E.,Rushing,Charles Rushing
1965,AMBASSADOR, G. McMurtrie Godley,McMurtrie,McMurtrie,Godley,McMurtrie Godley
1965,DEPUTY CHIEF OF MISSION, Robert 0. Blake,Robert,0.,Blake,Robert Blake
