year,rank,name,first_clean,middle,last,firstlast
1965,CONSUL GENERAL, A. David Fritzlan,David,David,Fritzlan,David Fritzlan
1965,ECONOMIC SECTION, John M. Bowie,John,M.,Bowie,John Bowie
1965,AMBASSADOR, Thomas S. Estes,Thomas,S.,Estes,Thomas Estes
1965,DEPUTY CHIEF OF MISSION, Richard A. Poole,Richard,A.,Poole,Richard Poole
1965,ECONOMIC SECTION," Robert T. Grey, Jr.",Robert,T.,Grey,Robert Grey
1965,AMBASSADOR, Wymberley DeR. Coerr,Wymberley,,DeR. Coerr,Wymberley DeR. Coerr
1965,DEPUTY CHIEF OF MISSION, William T. Briggs,William,T.,Briggs,William Briggs
1965,POLITICAL SECTION, James S. Cunningham,James,S.,Cunningham,James Cunningham
1965,ECONOMIC SECTION," Louis Mark, Jr.",Louis,,Mark,Louis Mark
1965,COMMERCIAL SECTION," Wilbur L. Garges, Jr.",Wilbur,L.,Garges,Wilbur Garges
1965,AGRICULTURAL ATTACHE, Henry L. Buckardt,Henry,L.,Buckardt,Henry Buckardt
1965,AMBASSADOR, C. Allan Stewart,Allan,Allan,Stewart,Allan Stewart
1965,DEPUTY CHIEF OF MISSION," John C. Hill, Jr.",John,C.,Hill,John Hill
1965,POLITICAL SECTION, Edward T. Long,Edward,T.,Long,Edward Long
1965,ECONOMIC SECTION, Joseph Carwell,Joseph,,Carwell,Joseph Carwell
1965,COMMERCIAL SECTION, Robert W. Ross,Robert,W.,Ross,Robert Ross
1965,AGRICULTURAL ATTACHE, James F. Gehr,James,F.,Gehr,James Gehr
1965,AID REPRESENTATIVE, Patrick F. Morris,Patrick,F.,Morris,Patrick Morris
1965,AMBASSADOR, Maxwell D. Taylor,Maxwell,D.,Taylor,Maxwell Taylor
1965,DEPUTY AMBASSADOR, U. Alexis Johnson,Alexis,Alexis,Johnson,Alexis Johnson
1965,POLITICAL SECTION, Melvin L. Manfull,Melvin,L.,Manfull,Melvin Manfull
1965,ECONOMIC SECTION, John T. Bennett,John,T.,Bennett,John Bennett
1965,AID MISSION DIRECTOR, James S. Killen,James,S.,Killen,James Killen
1965,CONSULATE GENERAL, Brbados,Brbados,,,Brbados 
1965,CONSUL GENERAL, Eileen R. Donovan,Eileen,R.,Donovan,Eileen Donovan
1965,ECONOMIC SECTION, Frank J. Walters,Frank,J.,Walters,Frank Walters
1965,POLITICAL SECTION, Richard C. Blalock,Richard,C.,Blalock,Richard Blalock
1965,ECONOMIC SECTION, James N. Fernald,James,N.,Fernald,James Fernald
1965,AID MISSION DIRECTOR, John Benz,John,,Benz,John Benz
1965,POLITICAL SECTION, Clifford J. Qui.lan,Clifford,J.,Qui.lan,Clifford Qui.lan
1965,AMBASSADOR, C. Burke Elbrick,Burke,Burke,Elbrick,Burke Elbrick
1965,DEPUTY CHIEF OF MISSION, Eric Kocher,Eric,,Kocher,Eric Kocher
1965,POLITICAL SECTION, Adolph Dubs,Adolph,,Dubs,Adolph Dubs
1965,ECONOMIC SECTION, Robert G. Cleveland,Robert,G.,Cleveland,Robert Cleveland
1965,COMMERCIAL SECTION, Russell O. Prickett,Russell,O.,Prickett,Russell Prickett
1965,AGRICULTURAL ATTACHE, Clyde R. Keaton,Clyde,R.,Keaton,Clyde Keaton
1965,CONSULATE GENERAL, Zagreb,Zagreb,,,Zagreb 
1965,CONSUL GENERAL, Karl E. Sommerlatte,Karl,E.,Sommerlatte,Karl Sommerlatte
1965,ECONOMIC SECTION, Helene A. Batier,Helene,A.,Batier,Helene Batier
1965,DEPUTY CHIEF OF MISSION, Robert C. Foulon,Robert,C.,Foulon,Robert Foulon
1965,POLITICAL SECTION, John C. Murray,John,C.,Murray,John Murray
1965,ECONOMIC SECTION, Larry C. Williamson,Larry,C.,Williamson,Larry Williamson
1982,CHG, Hawthorne Q. Mills,Hawthorne,Q.,Mills,Hawthorne Mills
1982,ADM, Ned E. Morris,Ned,E.,Morris,Ned Morris
1982,DCM," Charles F. Dunbar, Jr.",Charles,F.,Dunbar,Charles Dunbar
1982,RSO, James M. Crowe,James,M.,Crowe,James Crowe
1982,AMB, Michael H. Newlin,Michael,H.,Newlin,Michael Newlin
1982,ADM, Kenneth M. Chard,Kenneth,M.,Chard,Kenneth Chard
1982,DCM, Joseph,Joseph,,,Joseph 
1982,AGR, Forrest K. Gheerkin,Forrest,K.,Gheerkin,Forrest Gheerkin
1982,POL, Richard S. Thompson,Richard,S.,Thompson,Richard Thompson
1982,ECO, Ross C. Parr,Ross,C.,Parr,Ross Parr
1982,PAO, Edward T. Penney,Edward,T.,Penney,Edward Penney
1982,COM, Albert G. Nahas,Albert,G.,Nahas,Albert Nahas
1982,ODA," Ltc.William M. Handley,",,,Handley, Handley
1982,CON, Mary M. McAteer,Mary,M.,McAteer,Mary McAteer
1982,PO, Hal W. Pattison,Hal,W.,Pattison,Hal Pattison
1982,CON, Alejandro D. Wolff,Alejandro,D.,Wolff,Alejandro Wolff
1982,AMB, Milan D. Bish,Milan,D.,Bish,Milan Bish
1982,CHG, Paul Byrnes,Paul,,Byrnes,Paul Byrnes
1982,CON, J. Loretta Baker,Loretta,Loretta,Baker,Loretta Baker
1982,ADM, James Copeland,James,,Copeland,James Copeland
1982,AMB, Harry W. Shlaudeman,Harry,W.,Shlaudeman,Harry Shlaudeman
1982,ADM, Harold E. Vickers,Harold,E.,Vickers,Harold Vickers
1982,DCM, Claus W. Ruser,Claus,W.,Ruser,Claus Ruser
1982,RSO, Raymond J. Russell,Raymond,J.,Russell,Raymond Russell
1982,ECO, Lewis R. Townsend,Lewis,R.,Townsend,Lewis Townsend
1982,SCI, Lawrence,Lawrence,,,Lawrence 
1982,COM," Richard Rueda, Jr.",Richard,,Rueda,Richard Rueda
1982,AGR, James,James,,,James 
1982,POL, John F. King,John,F.,King,John King
1982,PAO, Robert D. Cross,Robert,D.,Cross,Robert Cross
1982,LAB, John Keane,John,,Keane,John Keane
1982,ODA, Col Robert W. Pitt USAF,Robert,W.,Pitt,Robert Pitt
1982,CON, Wilbur W. Hitchcock,Wilbur,W.,Hitchcock,Wilbur Hitchcock
1982,AMB, Robert D. Nesen,Robert,D.,Nesen,Robert Nesen
1982,ADM, Howard F. Williams,Howard,F.,Williams,Howard Williams
1982,DCM, Stephen R. Lyne,Stephen,R.,Lyne,Stephen Lyne
1982,MNL, David P. Christensen,David,P.,Christensen,David Christensen
1982,ECO, Paul L. Laase,Paul,L.,Laase,Paul Laase
1982,RSO, Kenneth S. McGuire,Kenneth,S.,McGuire,Kenneth McGuire
1982,COM, Edward G.,Edward,,G.,Edward G.
1982,SCI, William A. Weingarten,William,A.,Weingarten,William Weingarten
1982,AGR, Brice K. Meeker,Brice,K.,Meeker,Brice Meeker
1982,POL, Richard N.,Richard,,N.,Richard N.
1982,PAO, Ivan Klecka,Ivan,,Klecka,Ivan Klecka
1982,LAB, James P. Murphy,James,P.,Murphy,James Murphy
1982,CON, Patricia A. Weber,Patricia,A.,Weber,Patricia Weber
1982,CG, James W. White,James,W.,White,James White
1982,ADM, Richard A. Johnson,Richard,A.,Johnson,Richard Johnson
1982,COM, Donald R. Cleveland,Donald,R.,Cleveland,Donald Cleveland
1982,BPAO, Katherine D. Ray,Katherine,D.,Ray,Katherine Ray
1982,CON, Stephen P. Coffman,Stephen,P.,Coffman,Stephen Coffman
1982,CG, Herbert E. Horowitz,Herbert,E.,Horowitz,Herbert Horowitz
1982,ADM, Charles H. Sisk,Charles,H.,Sisk,Charles Sisk
1982,COM, Stephanie Mayfield,Stephanie,,Mayfield,Stephanie Mayfield
1982,BPAO, William L. Minehart,William,L.,Minehart,William Minehart
1982,CON, John Moore,John,,Moore,John Moore
1982,DIR, Hellmuth L. Kirschlager,Hellmuth,L.,Kirschlager,Hellmuth Kirschlager
1982,PO, Martha Carbone,Martha,,Carbone,Martha Carbone
1982,CON, Robert B. Peterson,Robert,B.,Peterson,Robert Peterson
1982,COM, David L. Boerigter,David,L.,Boerigter,David Boerigter
1982,BPAO, David L. Roberts Jr.,David,L.,Roberts,David Roberts
1982,AMB, Theodore,Theodore,,,Theodore 
1982,ADM, John B. Thompson,John,B.,Thompson,John Thompson
1982,DCM, Sol Polansky,Sol,,Polansky,Sol Polansky
1982,RSO, Robert A. Vertocnik,Robert,A.,Vertocnik,Robert Vertocnik
1982,ECO, Felix S. Bloch,Felix,S.,Bloch,Felix Bloch
1982,AGR, Nicholas,Nicholas,,,Nicholas 
1982,COM, Raymond W. Eiselt,Raymond,W.,Eiselt,Raymond Eiselt
1982,POL, Carl J. Clement,Carl,J.,Clement,Carl Clement
1982,PAO, Robert C. Voth,Robert,C.,Voth,Robert Voth
1982,LAB, John P. Becker,John,P.,Becker,John Becker
1982,CON, Randolph,Randolph,,,Randolph 
1982,PORT OFFICE," Vienna 1, Friedrich Schmidt",Friedrich,Schmidt,Vienna 1,Friedrich Vienna 1
1982,OFFICE MGR, Henriette Holzer,Henriette,,Holzer,Henriette Holzer
1982,US REP, Amb. Richard T.,Richard,,T.,Richard T.
1982,IAEA COUNS, Peter Brush,Peter,,Brush,Peter Brush
1982,SR SCI ADV, Richard,Richard,,,Richard 
1982,POL ADV, Marguerite Cooper,Marguerite,,Cooper,Marguerite Cooper
1982,NARC ADV, Walter V. Hall,Walter,V.,Hall,Walter Hall
1982,US REP, Amb. Roger Kirk,Roger,,Kirk,Roger Kirk
1982,COUNS, Brewster,Brewster,,,Brewster 
1982,ADM, Wayne S. Richman,Wayne,S.,Richman,Wayne Richman
1982,CHG, Andrew F. Antippas,Andrew,F.,Antippas,Andrew Antippas
1982,AGR, Robert Anlauf,Robert,,Anlauf,Robert Anlauf
1982,CON, Richard D. Belt,Richard,D.,Belt,Richard Belt
1982,PAO, Gerald C. Mattran,Gerald,C.,Mattran,Gerald Mattran
1982,LAB, Anthony M. Kern,Anthony,M.,Kern,Anthony Kern
1982,IMPORTANT, See page xii for,See,page xii,for,See for
1982,AMB, Peter A. Sutherland,Peter,A.,Sutherland,Peter Sutherland
1982,ADM, Lann A. Malesky,Lann,A.,Malesky,Lann Malesky
1982,DCM, Charles H. Brayshaw,Charles,H.,Brayshaw,Charles Brayshaw
1982,ATO, Joseph R. Butler,Joseph,R.,Butler,Joseph Butler
1982,PAO, Robert N. Minutillo,Robert,N.,Minutillo,Robert Minutillo
1982,CON, David H. Rundell,David,H.,Rundell,David Rundell
1982,AMB, Jane A. Coon,Jane,A.,Coon,Jane Coon
1982,ADM, Herbert D. Deremer,Herbert,D.,Deremer,Herbert Deremer
1982,DCM, Carl W. Schmidt,Carl,W.,Schmidt,Carl Schmidt
1982,RSO, Edward A. Napolieto,Edward,A.,Napolieto,Edward Napolieto
1982,AGR, Robert W. Johnson,Robert,W.,Johnson,Robert Johnson
1982,AID, Frank B. Kimball,Frank,B.,Kimball,Frank Kimball
1982,POL, Peter J. Lydon,Peter,J.,Lydon,Peter Lydon
1982,PAO, John H. Corr,John,H.,Corr,John Corr
1982,CON, Ellan Goff,Ellan,,Goff,Ellan Goff
1982,ODA, Ltc. Hugh M. Baker USA,Hugh,M.,Baker,Hugh Baker
1982,DCM, Ludlow Flower III,Ludlow,,Flower,Ludlow Flower
1982,ADM, Lemuel D. Coles,Lemuel,D.,Coles,Lemuel Coles
1982,AGR, George J. Dietz,George,J.,Dietz,George Dietz
1982,POL, Lawrence G. Rossin,Lawrence,G.,Rossin,Lawrence Rossin
1982,AID, William B. Wheeler,William,B.,Wheeler,William Wheeler
1982,PAO, E. Ashley Wills,Ashley,Ashley,Wills,Ashley Wills
1982,CON, Karl I. Danga,Karl,I.,Danga,Karl Danga
1982,AMB, Charles H. Price ||,Charles,H. Price,||,Charles ||
1982,CON, Robert J. Bel,Robert,J.,Bel,Robert Bel
1982,DCM, Edward L. Killham,Edward,L.,Killham,Edward Killham
1982,ADM, Lawrence D. Russell,Lawrence,D.,Russell,Lawrence Russell
1982,ECO, Mary E. McDonnell,Mary,E.,McDonnell,Mary McDonnell
1982,RSO, Gregorie W. Bujac,Gregorie,W.,Bujac,Gregorie Bujac
1982,COM," Ralph W. Stephan, Jr.",Ralph,W.,Stephan,Ralph Stephan
1982,AGR, James F. Lankford,James,F.,Lankford,James Lankford
1982,POL, John P. Heimann,John,P.,Heimann,John Heimann
1982,PAO, James Morad,James,,Morad,James Morad
1982,LAB, Wilbur I. Wright,Wilbur,I.,Wright,Wilbur Wright
1982,US PERM REP," Amb W. Tapley Bennett, Jr.",Tapley,Tapley,Bennett,Tapley Bennett
1982,POL ADV, Alan D. Berlind,Alan,D.,Berlind,Alan Berlind
1982,DEF ADV, Laurence J. Legere,Laurence,J.,Legere,Laurence Legere
1982,ECO ADV," Harry M. Montgomery, Jr.",Harry,M.,Montgomery,Harry Montgomery
1982,PUB AFF ADV, Robert J. Wozniak,Robert,J.,Wozniak,Robert Wozniak
1982,ADMADV, Col Henry M. Reed,Henry,M.,Reed,Henry Reed
1982,AMB, George,George,,,George 
1982,DCM, Denis Lamb,Denis,,Lamb,Denis Lamb
1982,ECO COUNS, Edward,Edward,,,Edward 
1982,POL COUNS, Arthur,Arthur,,,Arthur 
1982,PUB AFF COUNS, Dell Pendergrast,Dell,,Pendergrast,Dell Pendergrast
1982,AGR COUNS, Wayne W. Sharp,Wayne,W.,Sharp,Wayne Sharp
1982,CUSTOMSATT, Dennis C. Sequeira,Dennis,C.,Sequeira,Dennis Sequeira
1982,OFF, RuSSell LaMantia,RuSSell,,LaMantia,RuSSell LaMantia
1982,LAB, James A. Mattson,James,A.,Mattson,James Mattson
1982,CG, Thomas,Thomas,,,Thomas 
1982,CON, Bradley L. Hittle,Bradley,L.,Hittle,Bradley Hittle
1982,CHG, Malcolm R.,Malcolm,,R.,Malcolm R.
1982,ADM, James,James,,,James 
1982,LAB, John D. Fernandez,John,D.,Fernandez,John Fernandez
1982,POL, Richard A. Trencher,Richard,A.,Trencher,Richard Trencher
1982,AGR, Harry C. Bryan,Harry,C.,Bryan,Harry Bryan
1982,CON, Darrell A. Jenks,Darrell,A.,Jenks,Darrell Jenks
1982,AID, John Lundgren,John,,Lundgren,John Lundgren
1982,CHG, James R. Bullington,James,R.,Bullington,James Bullington
1982,CON, Robert H. White,Robert,H.,White,Robert White
1982,PAO, William G. Murphey,William,G.,Murphey,William Murphey
1982,ADM, Larry Corbett,Larry,,Corbett,Larry Corbett
1982,CG, John P. Owens,John,P.,Owens,John Owens
1982,CON, Paul C. Kline,Paul,C.,Kline,Paul Kline
1982,AMB, Edwin G. Corr,Edwin,G.,Corr,Edwin Corr
1982,AID, Henry H. Bassford,Henry,H.,Bassford,Henry Bassford
1982,DCM, William Pryce,William,,Pryce,William Pryce
1982,PAO, James Meyer,James,,Meyer,James Meyer
1982,NAU, Robert A. Gehring,Robert,A.,Gehring,Robert Gehring
1982,COM, Richard R. Ades,Richard,R.,Ades,Richard Ades
1982,ODA," Col Henry Green, Jr.",Henry,,Green,Henry Green
1982,LAB, David G. Wagner,David,G.,Wagner,David Wagner
1982,CON, George R. Summers,George,R.,Summers,George Summers
1982,ADM, James J. Johnston,James,J.,Johnston,James Johnston
1982,AGR, Norval Francis,Norval,,Francis,Norval Francis
1982,AMB, Horace,Horace,,,Horace 
1982,ADM," Eugene A. Trahan, Jr.",Eugene,A.,Trahan,Eugene Trahan
1982,AGR, John A. Williams,John,A.,Williams,John Williams
1982,AID, Louis A. Cohen,Louis,A.,Cohen,Louis Cohen
1982,CON, Robert H. Campbell,Robert,H.,Campbell,Robert Campbell
1982,PAO, Cornelius,Cornelius,,,Cornelius 
1982,LAB, Charles,Charles,,,Charles 
1982,ODA, Col David M. Parker,David,M.,Parker,David Parker
1982,MNL, Peter T. Hansen,Peter,T.,Hansen,Peter Hansen
1982,AMB, Langhorne,Langhorne,,,Langhorne 
1982,ADM, Bryce M. Gerlach,Bryce,M.,Gerlach,Bryce Gerlach
1982,DCM, George B. High,George,B.,High,George High
1982,RSO," John W. Corris, Jr.",John,W.,Corris,John Corris
1982,ECO, George R. Kenney,George,R.,Kenney,George Kenney
1982,SCI, Daniel P. Serwer,Daniel,P.,Serwer,Daniel Serwer
1982,FIN, John Abbott,John,,Abbott,John Abbott
1982,AGR, G. Stanley Brown,Stanley,Stanley,Brown,Stanley Brown
1982,COM, Ernest T. Greene,Ernest,T.,Greene,Ernest Greene
1982,PAO, McKinney,McKinney,,,McKinney 
1982,POL, George A. McFarland,George,A.,McFarland,George McFarland
1982,ODA, Radm James E.,James,,E.,James E.
1982,LAB, J. Guy Gwynne,Guy,Guy,Gwynne,Guy Gwynne
1982,CON, James E. Flynn,James,E.,Flynn,James Flynn
1982,CG, Samuel E. Lupo,Samuel,E.,Lupo,Samuel Lupo
1982,CON, M. June Dohse,June,June,Dohse,June Dohse
1982,ECO, James,James,,,James 
1982,ADM, Richard C. Andre,Richard,C.,Andre,Richard Andre
1982,COM, John P. Steinmetz,John,P.,Steinmetz,John Steinmetz
1982,AGR, Joseph F. Somers,Joseph,F.,Somers,Joseph Somers
1982,POL, William H. Crane,William,H.,Crane,William Crane
1982,BPAO, Leon Lederer II,Leon,,Lederer,Leon Lederer
1982,CG, John C. Leary,John,C.,Leary,John Leary
1982,POL, Thomas G. Martin,Thomas,G.,Martin,Thomas Martin
1982,ECO, Richard M. Bash,Richard,M.,Bash,Richard Bash
1982,CON, Therese Kleinkauf,Therese,,Kleinkauf,Therese Kleinkauf
1982,COM, Louis V. Riggio,Louis,V.,Riggio,Louis Riggio
1982,ADM, Bohdan Dmytrewycz,Bohdan,,Dmytrewycz,Bohdan Dmytrewycz
1982,AGR, John T. Hopkins,John,T.,Hopkins,John Hopkins
1982,BPAO, John Challinor,John,,Challinor,John Challinor
1982,DIR," Edward E. Keller, Jr.",Edward,E.,Keller,Edward Keller
1982,PO, Stuart H. Lippe,Stuart,H.,Lippe,Stuart Lippe
1982,BPAO, John Pouris,John,,Pouris,John Pouris
1982,CON, Richard A. Herold,Richard,A.,Herold,Richard Herold
1982,CON, Guido Fenzi,Guido,,Fenzi,Guido Fenzi
1982,BPAO, John P. Roney,John,P.,Roney,John Roney
1982,PO, Douglas G. Hartley,Douglas,G.,Hartley,Douglas Hartley
1982,BPAO, John P. Dwyer,John,P.,Dwyer,John Dwyer
1982,AMB, Robert L. Barry,Robert,L.,Barry,Robert Barry
1982,ADM, Louis J. Kochanek,Louis,J.,Kochanek,Louis Kochanek
1982,DCM, G. Norman,,,Norman, Norman
1982,RSO, George S. Beckett,George,S.,Beckett,George Beckett
1982,AGR, Roger Lowen,Roger,,Lowen,Roger Lowen
1982,ODA, Col Peter P. Petro,Peter,P.,Petro,Peter Petro
1982,CON, James F. Jeffrey,James,F.,Jeffrey,James Jeffrey
1982,AMB, Patricia M. Byrne,Patricia,M.,Byrne,Patricia Byrne
1982,CON, Jeffrey,Jeffrey,,,Jeffrey 
1982,DCM, Jerrold M. Dion,Jerrold,M.,Dion,Jerrold Dion
1982,ADM, Robert E. Park,Robert,E.,Park,Robert Park
1982,POL, Hugh C.,Hugh,,C.,Hugh C.
1982,AID, David N. Merrill,David,N.,Merrill,David Merrill
1982,PAO, Jerry E. Kyle,Jerry,E.,Kyle,Jerry Kyle
1982,ODA, Col Charles A.,Charles,,A.,Charles A.
1982,AMB, CON:,CON:,,,CON: 
1982,CON, Larry G. Jarrett,Larry,G.,Jarrett,Larry Jarrett
1982,DCM, E. Michael Southwick,Michael,Michael,Southwick,Michael Southwick
1982,ADM, Robert E. Downey,Robert,E.,Downey,Robert Downey
1982,PAO, Mary Ellen Connell,Mary,Ellen,Connell,Mary Connell
1982,AMB, Hume A. Horan,Hume,A.,Horan,Hume Horan
1982,AGR, George J. Pope,George,J.,Pope,George Pope
1982,DCM, David H. Shinn,David,H.,Shinn,David Shinn
1982,AID, Ronald D. Levin,Ronald,D.,Levin,Ronald Levin
1982,POL, Donald K. Bandler,Donald,K.,Bandler,Donald Bandler
1982,PAO, John W. Simmonds,John,W.,Simmonds,John Simmonds
1982,CON, Deborah R. Malac,Deborah,R.,Malac,Deborah Malac
1982,ADM, Thomas,Thomas,,,Thomas 
1982,RSO, Daniel La Franchi,Daniel,,La Franchi,Daniel La Franchi
1982,PO, Lois J. Matteson,Lois,J.,Matteson,Lois Matteson
1982,BPAO, David A. Andresen,David,A.,Andresen,David Andresen
1982,AMB," Paul H. Robinson, Jr.",Paul,H.,Robinson,Paul Robinson
1982,SCI, Richard Getzinger,Richard,,Getzinger,Richard Getzinger
1982,DCM, Richard,Richard,,,Richard 
1982,ADM, George,George,,,George 
1982,ECO, Peter W. Lande,Peter,W.,Lande,Peter Lande
1982,RSO, George,George,,,George 
1982,COM, Walter C. Lenahan,Walter,C.,Lenahan,Walter Lenahan
1982,AGR, Alexander,Alexander,,,Alexander 
1982,POL, Dwight,Dwight,,,Dwight 
1982,PAO, Jack,Jack,,,Jack 
1982,LAB, William,William,,,William 
1982,FIN, David Klock,David,,Klock,David Klock
1982,SLG, Jan B. Verschuur,Jan,B.,Verschuur,Jan Verschuur
1982,CON, Raymond,Raymond,,,Raymond 
1982,CG, Richard,Richard,,,Richard 
1982,CON, Luciano,Luciano,,,Luciano 
1982,COM, Carl R. Jacobsen,Carl,R.,Jacobsen,Carl Jacobsen
1982,CON, Michael D. Bellows,Michael,D.,Bellows,Michael Bellows
1982,CG, William,William,,,William 
1982,CON, Ann D. Campbell,Ann,D.,Campbell,Ann Campbell
1982,ECO, Frederick,Frederick,,,Frederick 
1982,ADM, Richard E. Kramer,Richard,E.,Kramer,Richard Kramer
1982,COM, James von Stroebel,James,,von Stroebel,James von Stroebel
1982,BPAO, William Zavis,William,,Zavis,William Zavis
1982,US REP, Min. John E. Downs,Min.,John E.,Downs,Min. Downs
1982,REP, Louis,Louis,,,Louis 
1982,ALT US REP, James,James,,,James 
1982,CG, George W. Jaeger,George,W.,Jaeger,George Jaeger
1982,CON, Catherine,Catherine,,,Catherine 
1982,CG," Frederick Smith, Jr.",Frederick,,Smith,Frederick Smith
1982,CON, Charles A. Anderson,Charles,A.,Anderson,Charles Anderson
1982,ECO, David C. Holton,David,C.,Holton,David Holton
1982,ADM, Everard S. Taylor,Everard,S.,Taylor,Everard Taylor
1982,COM, Toby T. Zettler,Toby,T.,Zettler,Toby Zettler
1982,BPAO, Michael,Michael,,,Michael 
1982,CG, Robert W. Moore,Robert,W.,Moore,Robert Moore
1982,ADM, Leonard J. Holsey,Leonard,J.,Holsey,Leonard Holsey
1982,BPAO," Bernie T. Marquis, Jr.",Bernie,T.,Marquis,Bernie Marquis
1982,IRS, Edward J. Carroll,Edward,J.,Carroll,Edward Carroll
1982,CON, George B. Kettenhofen,George,B.,Kettenhofen,George Kettenhofen
1982,CG, Lillian P. Mullin,Lillian,P.,Mullin,Lillian Mullin
1982,CON, Howard Steers,Howard,,Steers,Howard Steers
1982,AMB, Peter Jon de Vos,Peter,Jon,de Vos,Peter de Vos
1982,CHG, Edward,Edward,,,Edward 
1982,ADM, Carlos Perez,Carlos,,Perez,Carlos Perez
1982,CON, Anthony,Anthony,,,Anthony 
1982,AID, James,James,,,James 
1982,AMB, Arthur H. Woodruff,Arthur,H.,Woodruff,Arthur Woodruff
1982,ADM, Mary C. Pendleton,Mary,C.,Pendleton,Mary Pendleton
1982,DCM, Ollie Ellison,Ollie,,Ellison,Ollie Ellison
1982,PAO, Joseph P. Gregoire,Joseph,P.,Gregoire,Joseph Gregoire
1982,POL, Frank M. Knott,Frank,M.,Knott,Frank Knott
1982,CON, E. Alan Platt,Alan,Alan,Platt,Alan Platt
1982,ADM, James W.,James,,W.,James W.
1982,CHG, Charles W. Grover,Charles,W.,Grover,Charles Grover
1982,ECO, Peter D. Whitney,Peter,D.,Whitney,Peter Whitney
1982,AGR, Lawrence,Lawrence,,,Lawrence 
1982,COM, Daniel Taher,Daniel,,Taher,Daniel Taher
1982,AID, Dick F. Apodaca,Dick,F.,Apodaca,Dick Apodaca
1982,POL, Michael,Michael,,,Michael 
1982,PAO, Eugene J. Friedmann,Eugene,J.,Friedmann,Eugene Friedmann
1982,LAB, Robert L. Craven,Robert,L.,Craven,Robert Craven
1982,CON, Don E. Bean,Don,E.,Bean,Don Bean
1982,AMB," Arthur W. Hummel, Jr.",Arthur,W.,Hummel,Arthur Hummel
1982,DCM," Charles W. Freeman, Jr.",Charles,W.,Freeman,Charles Freeman
1982,RSO, Berne M. Indahl,Berne,M.,Indahl,Berne Indahl
1982,ECO, David G. Brown,David,G.,Brown,David Brown
1982,SCI, Otto Schnepp,Otto,,Schnepp,Otto Schnepp
1982,COM, David Laux (Acting),David,,Laux,David Laux
1982,AGR, Jerome,Jerome,,,Jerome 
1982,POL, John J. Taylor,John,J.,Taylor,John Taylor
1982,ATO, James R. Brow,James,R.,Brow,James Brow
1982,CON, Arturo S. Macias,Arturo,S.,Macias,Arturo Macias
1982,PAO, Norris Smith,Norris,,Smith,Norris Smith
1982,CG, Jerome C. Ogden,Jerome,C.,Ogden,Jerome Ogden
1982,POL, Ross R. Rodgers,Ross,R.,Rodgers,Ross Rodgers
1982,DPO, James H. Hall,James,H.,Hall,James Hall
1982,CON, Kathryn D. Robinson,Kathryn,D.,Robinson,Kathryn Robinson
1982,ECO, Ronald,Ronald,,,Ronald 
1982,ADM, Allen E. Nugent,Allen,E.,Nugent,Allen Nugent
1982,COM, David A. Hughes,David,A.,Hughes,David Hughes
1982,CG, Donald,Donald,,,Donald 
1982,CON, Stephen A. Schlaikjer,Stephen,A.,Schlaikjer,Stephen Schlaikjer
1982,ADM, John Witt,John,,Witt,John Witt
1982,BPAO, David Hess,David,,Hess,David Hess
1982,POL, Thomas,Thomas,,,Thomas 
1982,AMB, Thomas,Thomas,,,Thomas 
1982,ADM, David R. Beall,David,R.,Beall,David Beall
1982,DCM, Alexander,Alexander,,,Alexander 
1982,RSO, Anthony J. Lalters,Anthony,J.,Lalters,Anthony Lalters
1982,ECO, Reynold A. Riemer,Reynold,A.,Riemer,Reynold Riemer
1982,AGR, Lloyd I. Holmes,Lloyd,I.,Holmes,Lloyd Holmes
1982,COM, Ricardo Villalobos,Ricardo,,Villalobos,Ricardo Villalobos
1982,PAO, Carl D. Howard,Carl,D.,Howard,Carl Howard
1982,POL, Adolph,Adolph,,,Adolph 
1982,NAU, Cesar P. Bernal,Cesar,P.,Bernal,Cesar Bernal
1982,CON, John D. Coffman,John,D.,Coffman,John Coffman
1982,ODA, Col Dennis S. Greene,Dennis,S.,Greene,Dennis Greene
1982,LAB, John J. Muth,John,J.,Muth,John Muth
1982,PO, Gerald J. Whitman,Gerald,J.,Whitman,Gerald Whitman
1982,CON, Robert A. Arthurs,Robert,A.,Arthurs,Robert Arthurs
1982,PO, William C. Sergeant,William,C.,Sergeant,William Sergeant
1982,BPAO, Kathleen A. Brion,Kathleen,A.,Brion,Kathleen Brion
1982,CON, Reginald J. McHugh,Reginald,J.,McHugh,Reginald McHugh
1982,CHG, Arlene Render,Arlene,,Render,Arlene Render
1982,ADM, Lawrence S. Blackburn,Lawrence,S.,Blackburn,Lawrence Blackburn
1982,PAO, Robert Murphy,Robert,,Murphy,Robert Murphy
1982,AMB, Francis J. McNeil,Francis,J.,McNeil,Francis McNeil
1982,CON, Lynn W. Curtin,Lynn,W.,Curtin,Lynn Curtin
1982,DCM, Madison,Madison,,,Madison 
1982,ADM, Ernest Ruehle,Ernest,,Ruehle,Ernest Ruehle
1982,ECO, John H. Curry,John,H.,Curry,John Curry
1982,AGR, Frank D. Lee,Frank,D.,Lee,Frank Lee
1982,COM, Bruce F. Porter,Bruce,F.,Porter,Bruce Porter
1982,AID, Stephen P. Knaebel,Stephen,P.,Knaebel,Stephen Knaebel
1982,POL, Michael M. Skol,Michael,M.,Skol,Michael Skol
